CÓDIGO PRINCIPAL,DESCRIPCIÓN DIAGNÓSTICO PRINCIPAL,CÓDIGO SECUNDARIO,DESCRIPCIÓN DIAGNÓSTICO SECUNDARIO,RATIO
C33,Neoplasia maligna de tráquea,C71,Neoplasia maligna de cerebro,1.0542635659
C33,Neoplasia maligna de tráquea,F93,Trastornos emocionales con inicio específico en la infancia,1.0736434109
C33,Neoplasia maligna de tráquea,J41,Bronquitis crónica simple y mucopurulenta,1.011627907
C33,Neoplasia maligna de tráquea,J42,Bronquitis crónica no especificada,1.011627907
C33,Neoplasia maligna de tráquea,J44,Otras enfermedades pulmonares obstructivas crónicas,1.011627907
C34,Neoplasia maligna de bronquio y pulmón,C71,Neoplasia maligna de cerebro,1.0542635659
C34,Neoplasia maligna de bronquio y pulmón,F93,Trastornos emocionales con inicio específico en la infancia,1.0736434109
C34,Neoplasia maligna de bronquio y pulmón,J41,Bronquitis crónica simple y mucopurulenta,1.011627907
C34,Neoplasia maligna de bronquio y pulmón,J42,Bronquitis crónica no especificada,1.011627907
C34,Neoplasia maligna de bronquio y pulmón,J44,Otras enfermedades pulmonares obstructivas crónicas,1.011627907
C50,Neoplasia maligna de mama,D25,Leiomioma de útero,1.0658914729
C50,Neoplasia maligna de mama,F30,Episodio maníaco,1.0658914729
C50,Neoplasia maligna de mama,F31,Trastorno bipolar,1.0658914729
C50,Neoplasia maligna de mama,F32,"Trastorno depresivo mayor, episodio único",1.0658914729
C50,Neoplasia maligna de mama,F33,"Trastorno depresivo mayor, recurrente",1.0658914729
C50,Neoplasia maligna de mama,F39,"Trastorno del estado de ánimo [afectivo], no especificado",1.0658914729
C50,Neoplasia maligna de mama,F93,Trastornos emocionales con inicio específico en la infancia,1.0387596899
C50,Neoplasia maligna de mama,G47,Trastornos del sueño,1.0465116279
C50,Neoplasia maligna de mama,G56,Mononeuropatías de extremidad superior,1.0736434109
C50,Neoplasia maligna de mama,G58,Otras mononeuropatías,1.0736434109
C50,Neoplasia maligna de mama,I82,Otros tipos de embolia y trombosis venosa,1.0736434109
C50,Neoplasia maligna de mama,I89,Otros trastornos no infecciosos de vasos y ganglios linfáticos,1.0503875969
C50,Neoplasia maligna de mama,M15,Poliartrosis,1.019379845
C50,Neoplasia maligna de mama,M16,Artrosis de cadera,1.019379845
C50,Neoplasia maligna de mama,M17,Artrosis de rodilla,1.019379845
C50,Neoplasia maligna de mama,M18,Artrosis de primera articulación carpometacarpiana,1.019379845
C50,Neoplasia maligna de mama,M19,Otras artrosis y las no especificadas,1.019379845
C50,Neoplasia maligna de mama,M22,Trastorno de rótula,1.0426356589
C50,Neoplasia maligna de mama,M23,Trastorno interno de rodilla,1.0310077519
C50,Neoplasia maligna de mama,M24,Otros trastornos especificados de articulación,1.0426356589
C50,Neoplasia maligna de mama,M25,"Otros trastornos de articulación, no clasificados bajo otro concepto",1.0310077519
C50,Neoplasia maligna de mama,M48,Otras espondilopatías,1.0310077519
C50,Neoplasia maligna de mama,M50,Trastornos de disco cervical,1.0310077519
C50,Neoplasia maligna de mama,M51,"Trastornos de disco intervertebral dorsal, dorsolumbar y lumbosacro",1.0310077519
C50,Neoplasia maligna de mama,M70,"Trastorno de partes blandas en relación con uso, uso excesivo y presión",1.0581395349
C50,Neoplasia maligna de mama,M75,Lesiones de hombro,1.0581395349
C50,Neoplasia maligna de mama,M76,"Entesopatías, extremidad inferior, excluido el pie",1.0581395349
C50,Neoplasia maligna de mama,M77,Otros tipos de entesopatías,1.0581395349
C50,Neoplasia maligna de mama,M80,Osteoporosis con fractura patológica actual,1.0271317829
C50,Neoplasia maligna de mama,M81,Osteoporosis sin fractura patológica actual,1.0271317829
C50,Neoplasia maligna de mama,M84,Trastorno de continuidad del hueso,1.0271317829
C50,Neoplasia maligna de mama,M85,Otros trastornos de densidad y estructura óseas,1.0271317829
C50,Neoplasia maligna de mama,M87,Osteonecrosis,1.0271317829
C50,Neoplasia maligna de mama,M89,Otros trastornos de hueso,1.0271317829
C50,Neoplasia maligna de mama,M90,Osteopatías en enfermedades clasificadas bajo otro concepto,1.0271317829
C50,Neoplasia maligna de mama,M94,Otros trastornos del cartílago,1.0271317829
C50,Neoplasia maligna de mama,N61,Trastornos inflamatorios de mama,1.0503875969
C50,Neoplasia maligna de mama,N62,Hipertrofia mamaria,1.0503875969
C50,Neoplasia maligna de mama,N63,Masa o bulto no especificado de mama,1.0503875969
C50,Neoplasia maligna de mama,N64,Otros trastornos mamarios,1.0503875969
C50,Neoplasia maligna de mama,R40,"Somnolencia, estupor y coma",1.0465116279
C50,Neoplasia maligna de mama,R41,Otros síntomas y signos que afectan a las funciones cognitivas y la conciencia,1.0465116279
C50,Neoplasia maligna de mama,R42,Mareo y desvanecimiento,1.0465116279
C50,Neoplasia maligna de mama,R44,Otros síntomas y signos que afectan a las sensaciones y percepciones generales,1.0465116279
C50,Neoplasia maligna de mama,R50,Fiebre de otro origen y de origen desconocido,1.0465116279
C50,Neoplasia maligna de mama,R53,Malestar y fatiga,1.0465116279
C50,Neoplasia maligna de mama,R55,Síncope y colapso,1.0465116279
C50,Neoplasia maligna de mama,R56,"Convulsiones, no clasificadas bajo otro concepto",1.0465116279
C50,Neoplasia maligna de mama,R61,Hiperhidrosis generalizada,1.0465116279
C50,Neoplasia maligna de mama,R68,Otros síntomas y signos generales,1.0465116279
C50,Neoplasia maligna de mama,S49,Otros traumatismos y los no especificados del hombro y brazo,1.0271317829
C56,Neoplasia maligna de ovario,F93,Trastornos emocionales con inicio específico en la infancia,1.0542635659
C57,Neoplasia maligna de otros órganos genitales femeninos y los no especificadas,F93,Trastornos emocionales con inicio específico en la infancia,1.0542635659
C61,Neoplasia maligna de próstata,F93,Trastornos emocionales con inicio específico en la infancia,1.0620155039
C61,Neoplasia maligna de próstata,N23,Cólico renal no especificado,1.0891472868
C61,Neoplasia maligna de próstata,R30,Dolor asociado a la micción,1.0891472868
C61,Neoplasia maligna de próstata,R32,Incontinencia urinaria no especificada,1.0891472868
C61,Neoplasia maligna de próstata,R33,Retención urinaria,1.0891472868
C61,Neoplasia maligna de próstata,R34,Anuria y oliguria,1.0891472868
C61,Neoplasia maligna de próstata,R35,Poliuria,1.0891472868
C61,Neoplasia maligna de próstata,R36,Secreción uretral,1.0891472868
C61,Neoplasia maligna de próstata,R39,"Otros síntomas y signos que afectan al aparato genitourinario, y los no especificados",1.0891472868
C67,Neoplasia maligna de vejiga,C61,Neoplasia maligna de próstata,1.0736434109
C67,Neoplasia maligna de vejiga,F93,Trastornos emocionales con inicio específico en la infancia,1.1279069767
C71,Neoplasia maligna de cerebro,G40,Epilepsia y crisis epilépticas recurrentes,1.0813953488
C73,Neoplasia maligna de glándula tiroides,F93,Trastornos emocionales con inicio específico en la infancia,1.1124031008
C82,Linfoma folicular,B15,Hepatitis aguda tipo A,1.0387596899
C82,Linfoma folicular,B16,Hepatitis aguda tipo B,1.0387596899
C82,Linfoma folicular,B17,Otras hepatitis víricas agudas,1.0387596899
C82,Linfoma folicular,B18,Hepatitis vírica crónica,1.0387596899
C82,Linfoma folicular,B19,"Hepatitis vírica, no especificada",1.0387596899
C82,Linfoma folicular,B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],1.003875969
C82,Linfoma folicular,F93,Trastornos emocionales con inicio específico en la infancia,1.0581395349
C82,Linfoma folicular,M70,"Trastorno de partes blandas en relación con uso, uso excesivo y presión",1.0620155039
C82,Linfoma folicular,M75,Lesiones de hombro,1.0620155039
C82,Linfoma folicular,M76,"Entesopatías, extremidad inferior, excluido el pie",1.0620155039
C82,Linfoma folicular,M77,Otros tipos de entesopatías,1.0620155039
C84,Linfomas de células T/NK maduras,B15,Hepatitis aguda tipo A,1.0387596899
C84,Linfomas de células T/NK maduras,B16,Hepatitis aguda tipo B,1.0387596899
C84,Linfomas de células T/NK maduras,B17,Otras hepatitis víricas agudas,1.0387596899
C84,Linfomas de células T/NK maduras,B18,Hepatitis vírica crónica,1.0387596899
C84,Linfomas de células T/NK maduras,B19,"Hepatitis vírica, no especificada",1.0387596899
C84,Linfomas de células T/NK maduras,B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],1.003875969
C84,Linfomas de células T/NK maduras,F93,Trastornos emocionales con inicio específico en la infancia,1.0581395349
C84,Linfomas de células T/NK maduras,M70,"Trastorno de partes blandas en relación con uso, uso excesivo y presión",1.0620155039
C84,Linfomas de células T/NK maduras,M75,Lesiones de hombro,1.0620155039
C84,Linfomas de células T/NK maduras,M76,"Entesopatías, extremidad inferior, excluido el pie",1.0620155039
C84,Linfomas de células T/NK maduras,M77,Otros tipos de entesopatías,1.0620155039
C85,Otros tipos de linfoma no Hodgkin y los no especificados,B15,Hepatitis aguda tipo A,1.0387596899
C85,Otros tipos de linfoma no Hodgkin y los no especificados,B16,Hepatitis aguda tipo B,1.0387596899
C85,Otros tipos de linfoma no Hodgkin y los no especificados,B17,Otras hepatitis víricas agudas,1.0387596899
C85,Otros tipos de linfoma no Hodgkin y los no especificados,B18,Hepatitis vírica crónica,1.0387596899
C85,Otros tipos de linfoma no Hodgkin y los no especificados,B19,"Hepatitis vírica, no especificada",1.0387596899
C85,Otros tipos de linfoma no Hodgkin y los no especificados,B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],1.003875969
C85,Otros tipos de linfoma no Hodgkin y los no especificados,F93,Trastornos emocionales con inicio específico en la infancia,1.0581395349
C85,Otros tipos de linfoma no Hodgkin y los no especificados,M70,"Trastorno de partes blandas en relación con uso, uso excesivo y presión",1.0620155039
C85,Otros tipos de linfoma no Hodgkin y los no especificados,M75,Lesiones de hombro,1.0620155039
C85,Otros tipos de linfoma no Hodgkin y los no especificados,M76,"Entesopatías, extremidad inferior, excluido el pie",1.0620155039
C85,Otros tipos de linfoma no Hodgkin y los no especificados,M77,Otros tipos de entesopatías,1.0620155039
C86,Otros tipos especificados de linfoma de células T/NK,B15,Hepatitis aguda tipo A,1.0387596899
C86,Otros tipos especificados de linfoma de células T/NK,B16,Hepatitis aguda tipo B,1.0387596899
C86,Otros tipos especificados de linfoma de células T/NK,B17,Otras hepatitis víricas agudas,1.0387596899
C86,Otros tipos especificados de linfoma de células T/NK,B18,Hepatitis vírica crónica,1.0387596899
C86,Otros tipos especificados de linfoma de células T/NK,B19,"Hepatitis vírica, no especificada",1.0387596899
C86,Otros tipos especificados de linfoma de células T/NK,B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],1.003875969
C86,Otros tipos especificados de linfoma de células T/NK,F93,Trastornos emocionales con inicio específico en la infancia,1.0581395349
C86,Otros tipos especificados de linfoma de células T/NK,M70,"Trastorno de partes blandas en relación con uso, uso excesivo y presión",1.0620155039
C86,Otros tipos especificados de linfoma de células T/NK,M75,Lesiones de hombro,1.0620155039
C86,Otros tipos especificados de linfoma de células T/NK,M76,"Entesopatías, extremidad inferior, excluido el pie",1.0620155039
C86,Otros tipos especificados de linfoma de células T/NK,M77,Otros tipos de entesopatías,1.0620155039
C90,Mieloma múltiple y tumores malignos de células plasmáticas,M80,Osteoporosis con fractura patológica actual,1.0426356589
C90,Mieloma múltiple y tumores malignos de células plasmáticas,M81,Osteoporosis sin fractura patológica actual,1.0426356589
C90,Mieloma múltiple y tumores malignos de células plasmáticas,M84,Trastorno de continuidad del hueso,1.0426356589
C90,Mieloma múltiple y tumores malignos de células plasmáticas,M85,Otros trastornos de densidad y estructura óseas,1.0426356589
C90,Mieloma múltiple y tumores malignos de células plasmáticas,M87,Osteonecrosis,1.0426356589
C90,Mieloma múltiple y tumores malignos de células plasmáticas,M89,Otros trastornos de hueso,1.0426356589
C90,Mieloma múltiple y tumores malignos de células plasmáticas,M90,Osteopatías en enfermedades clasificadas bajo otro concepto,1.0426356589
C90,Mieloma múltiple y tumores malignos de células plasmáticas,M94,Otros trastornos del cartílago,1.0426356589
C90,Mieloma múltiple y tumores malignos de células plasmáticas,S49,Otros traumatismos y los no especificados del hombro y brazo,1.0426356589
C96,"Otros tipos de neoplasias malignas de tejido linfático, hemopoyético y relacionados y los no especificados",B15,Hepatitis aguda tipo A,1.0387596899
C96,"Otros tipos de neoplasias malignas de tejido linfático, hemopoyético y relacionados y los no especificados",B16,Hepatitis aguda tipo B,1.0387596899
C96,"Otros tipos de neoplasias malignas de tejido linfático, hemopoyético y relacionados y los no especificados",B17,Otras hepatitis víricas agudas,1.0387596899
C96,"Otros tipos de neoplasias malignas de tejido linfático, hemopoyético y relacionados y los no especificados",B18,Hepatitis vírica crónica,1.0387596899
C96,"Otros tipos de neoplasias malignas de tejido linfático, hemopoyético y relacionados y los no especificados",B19,"Hepatitis vírica, no especificada",1.0387596899
C96,"Otros tipos de neoplasias malignas de tejido linfático, hemopoyético y relacionados y los no especificados",B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],1.003875969
C96,"Otros tipos de neoplasias malignas de tejido linfático, hemopoyético y relacionados y los no especificados",F93,Trastornos emocionales con inicio específico en la infancia,1.0581395349
C96,"Otros tipos de neoplasias malignas de tejido linfático, hemopoyético y relacionados y los no especificados",M70,"Trastorno de partes blandas en relación con uso, uso excesivo y presión",1.0620155039
C96,"Otros tipos de neoplasias malignas de tejido linfático, hemopoyético y relacionados y los no especificados",M75,Lesiones de hombro,1.0620155039
C96,"Otros tipos de neoplasias malignas de tejido linfático, hemopoyético y relacionados y los no especificados",M76,"Entesopatías, extremidad inferior, excluido el pie",1.0620155039
C96,"Otros tipos de neoplasias malignas de tejido linfático, hemopoyético y relacionados y los no especificados",M77,Otros tipos de entesopatías,1.0620155039
D05,Carcinoma in situ de mama,F93,Trastornos emocionales con inicio específico en la infancia,1.023255814
D06,Carcinoma in situ de cuello de útero,F93,Trastornos emocionales con inicio específico en la infancia,1.023255814
D07,Carcinoma in situ de otros órganos genitales y los no especificados,F93,Trastornos emocionales con inicio específico en la infancia,1.023255814
D09,Carcinoma in situ de otras localizaciones y las no especificadas,F93,Trastornos emocionales con inicio específico en la infancia,1.023255814
D25,Leiomioma de útero,D50,Anemia por carencia de hierro,1.1860465116
D32,Neoplasia benigna de meninges,G40,Epilepsia y crisis epilépticas recurrentes,1.0426356589
D32,Neoplasia benigna de meninges,G51,Trastornos del nervio facial,1.0465116279
D33,Neoplasia benigna de cerebro y otras partes de sistema nervioso central,G40,Epilepsia y crisis epilépticas recurrentes,1.0426356589
D33,Neoplasia benigna de cerebro y otras partes de sistema nervioso central,G51,Trastornos del nervio facial,1.0465116279
E10,Diabetes mellitus tipo 1,F93,Trastornos emocionales con inicio específico en la infancia,1.1240310078
E10,Diabetes mellitus tipo 1,H34,Oclusiones vasculares retinianas,1.1085271318
E10,Diabetes mellitus tipo 1,H35,Otros trastornos de retina,1.1085271318
E10,Diabetes mellitus tipo 1,H36,Trastornos de retina en enfermedades clasificadas bajo otro concepto,1.1085271318
E11,Diabetes mellitus tipo 2,F93,Trastornos emocionales con inicio específico en la infancia,1.1240310078
E11,Diabetes mellitus tipo 2,H34,Oclusiones vasculares retinianas,1.1085271318
E11,Diabetes mellitus tipo 2,H35,Otros trastornos de retina,1.1085271318
E11,Diabetes mellitus tipo 2,H36,Trastornos de retina en enfermedades clasificadas bajo otro concepto,1.1085271318
E65,Adiposidad localizada,G47,Trastornos del sueño,1.1356589147
E65,Adiposidad localizada,M15,Poliartrosis,1.1937984496
E65,Adiposidad localizada,M16,Artrosis de cadera,1.1937984496
E65,Adiposidad localizada,M17,Artrosis de rodilla,1.1937984496
E65,Adiposidad localizada,M18,Artrosis de primera articulación carpometacarpiana,1.1937984496
E65,Adiposidad localizada,M19,Otras artrosis y las no especificadas,1.1937984496
E65,Adiposidad localizada,M23,Trastorno interno de rodilla,1.1240310078
E65,Adiposidad localizada,M48,Otras espondilopatías,1.1705426357
E65,Adiposidad localizada,R40,"Somnolencia, estupor y coma",1.1356589147
E65,Adiposidad localizada,R41,Otros síntomas y signos que afectan a las funciones cognitivas y la conciencia,1.1356589147
E65,Adiposidad localizada,R42,Mareo y desvanecimiento,1.1356589147
E65,Adiposidad localizada,R44,Otros síntomas y signos que afectan a las sensaciones y percepciones generales,1.1356589147
E65,Adiposidad localizada,R50,Fiebre de otro origen y de origen desconocido,1.1356589147
E65,Adiposidad localizada,R53,Malestar y fatiga,1.1356589147
E65,Adiposidad localizada,R55,Síncope y colapso,1.1356589147
E65,Adiposidad localizada,R56,"Convulsiones, no clasificadas bajo otro concepto",1.1356589147
E65,Adiposidad localizada,R61,Hiperhidrosis generalizada,1.1356589147
E65,Adiposidad localizada,R68,Otros síntomas y signos generales,1.1356589147
E66,Sobrepeso y obesidad,G47,Trastornos del sueño,1.1356589147
E66,Sobrepeso y obesidad,M15,Poliartrosis,1.1937984496
E66,Sobrepeso y obesidad,M16,Artrosis de cadera,1.1937984496
E66,Sobrepeso y obesidad,M17,Artrosis de rodilla,1.1937984496
E66,Sobrepeso y obesidad,M18,Artrosis de primera articulación carpometacarpiana,1.1937984496
E66,Sobrepeso y obesidad,M19,Otras artrosis y las no especificadas,1.1937984496
E66,Sobrepeso y obesidad,M23,Trastorno interno de rodilla,1.1240310078
E66,Sobrepeso y obesidad,M48,Otras espondilopatías,1.1705426357
E66,Sobrepeso y obesidad,R40,"Somnolencia, estupor y coma",1.1356589147
E66,Sobrepeso y obesidad,R41,Otros síntomas y signos que afectan a las funciones cognitivas y la conciencia,1.1356589147
E66,Sobrepeso y obesidad,R42,Mareo y desvanecimiento,1.1356589147
E66,Sobrepeso y obesidad,R44,Otros síntomas y signos que afectan a las sensaciones y percepciones generales,1.1356589147
E66,Sobrepeso y obesidad,R50,Fiebre de otro origen y de origen desconocido,1.1356589147
E66,Sobrepeso y obesidad,R53,Malestar y fatiga,1.1356589147
E66,Sobrepeso y obesidad,R55,Síncope y colapso,1.1356589147
E66,Sobrepeso y obesidad,R56,"Convulsiones, no clasificadas bajo otro concepto",1.1356589147
E66,Sobrepeso y obesidad,R61,Hiperhidrosis generalizada,1.1356589147
E66,Sobrepeso y obesidad,R68,Otros síntomas y signos generales,1.1356589147
E67,Otros tipos de hiperalimentación,G47,Trastornos del sueño,1.1356589147
E67,Otros tipos de hiperalimentación,M15,Poliartrosis,1.1937984496
E67,Otros tipos de hiperalimentación,M16,Artrosis de cadera,1.1937984496
E67,Otros tipos de hiperalimentación,M17,Artrosis de rodilla,1.1937984496
E67,Otros tipos de hiperalimentación,M18,Artrosis de primera articulación carpometacarpiana,1.1937984496
E67,Otros tipos de hiperalimentación,M19,Otras artrosis y las no especificadas,1.1937984496
E67,Otros tipos de hiperalimentación,M23,Trastorno interno de rodilla,1.1240310078
E67,Otros tipos de hiperalimentación,M48,Otras espondilopatías,1.1705426357
E67,Otros tipos de hiperalimentación,R40,"Somnolencia, estupor y coma",1.1356589147
E67,Otros tipos de hiperalimentación,R41,Otros síntomas y signos que afectan a las funciones cognitivas y la conciencia,1.1356589147
E67,Otros tipos de hiperalimentación,R42,Mareo y desvanecimiento,1.1356589147
E67,Otros tipos de hiperalimentación,R44,Otros síntomas y signos que afectan a las sensaciones y percepciones generales,1.1356589147
E67,Otros tipos de hiperalimentación,R50,Fiebre de otro origen y de origen desconocido,1.1356589147
E67,Otros tipos de hiperalimentación,R53,Malestar y fatiga,1.1356589147
E67,Otros tipos de hiperalimentación,R55,Síncope y colapso,1.1356589147
E67,Otros tipos de hiperalimentación,R56,"Convulsiones, no clasificadas bajo otro concepto",1.1356589147
E67,Otros tipos de hiperalimentación,R61,Hiperhidrosis generalizada,1.1356589147
E67,Otros tipos de hiperalimentación,R68,Otros síntomas y signos generales,1.1356589147
E68,Secuelas de hiperalimentación,G47,Trastornos del sueño,1.1356589147
E68,Secuelas de hiperalimentación,M15,Poliartrosis,1.1937984496
E68,Secuelas de hiperalimentación,M16,Artrosis de cadera,1.1937984496
E68,Secuelas de hiperalimentación,M17,Artrosis de rodilla,1.1937984496
E68,Secuelas de hiperalimentación,M18,Artrosis de primera articulación carpometacarpiana,1.1937984496
E68,Secuelas de hiperalimentación,M19,Otras artrosis y las no especificadas,1.1937984496
E68,Secuelas de hiperalimentación,M23,Trastorno interno de rodilla,1.1240310078
E68,Secuelas de hiperalimentación,M48,Otras espondilopatías,1.1705426357
E68,Secuelas de hiperalimentación,R40,"Somnolencia, estupor y coma",1.1356589147
E68,Secuelas de hiperalimentación,R41,Otros síntomas y signos que afectan a las funciones cognitivas y la conciencia,1.1356589147
E68,Secuelas de hiperalimentación,R42,Mareo y desvanecimiento,1.1356589147
E68,Secuelas de hiperalimentación,R44,Otros síntomas y signos que afectan a las sensaciones y percepciones generales,1.1356589147
E68,Secuelas de hiperalimentación,R50,Fiebre de otro origen y de origen desconocido,1.1356589147
E68,Secuelas de hiperalimentación,R53,Malestar y fatiga,1.1356589147
E68,Secuelas de hiperalimentación,R55,Síncope y colapso,1.1356589147
E68,Secuelas de hiperalimentación,R56,"Convulsiones, no clasificadas bajo otro concepto",1.1356589147
E68,Secuelas de hiperalimentación,R61,Hiperhidrosis generalizada,1.1356589147
E68,Secuelas de hiperalimentación,R68,Otros síntomas y signos generales,1.1356589147
F05,Delirio debido a afección fisiológica conocida,F40,Trastornos de ansiedad fóbica,1.023255814
F05,Delirio debido a afección fisiológica conocida,F41,Otros trastornos de ansiedad,1.023255814
F05,Delirio debido a afección fisiológica conocida,F42,Trastorno obsesivo-compulsivo,1.023255814
F05,Delirio debido a afección fisiológica conocida,F44,Trastornos disociativos y de conversión,1.023255814
F05,Delirio debido a afección fisiológica conocida,F45,Trastornos somatomorfos,1.023255814
F05,Delirio debido a afección fisiológica conocida,F48,Otros trastornos mentales no psicóticos,1.023255814
F05,Delirio debido a afección fisiológica conocida,F93,Trastornos emocionales con inicio específico en la infancia,1.0968992248
F05,Delirio debido a afección fisiológica conocida,F99,"Trastorno mental, no especificado de otro modo",1.023255814
F06,Otros trastornos mentales debidos a afección fisiológica conocida,F40,Trastornos de ansiedad fóbica,1.023255814
F06,Otros trastornos mentales debidos a afección fisiológica conocida,F41,Otros trastornos de ansiedad,1.023255814
F06,Otros trastornos mentales debidos a afección fisiológica conocida,F42,Trastorno obsesivo-compulsivo,1.023255814
F06,Otros trastornos mentales debidos a afección fisiológica conocida,F44,Trastornos disociativos y de conversión,1.023255814
F06,Otros trastornos mentales debidos a afección fisiológica conocida,F45,Trastornos somatomorfos,1.023255814
F06,Otros trastornos mentales debidos a afección fisiológica conocida,F48,Otros trastornos mentales no psicóticos,1.023255814
F06,Otros trastornos mentales debidos a afección fisiológica conocida,F93,Trastornos emocionales con inicio específico en la infancia,1.0968992248
F06,Otros trastornos mentales debidos a afección fisiológica conocida,F99,"Trastorno mental, no especificado de otro modo",1.023255814
F10,Trastornos relacionados con alcohol,F14,Trastornos relacionados con cocaína,1.0348837209
F10,Trastornos relacionados con alcohol,F18,Trastornos relacionados con inhalantes,1.0348837209
F10,Trastornos relacionados con alcohol,F19,Trastornos relacionados con otras sustancias psicoactivas,1.0348837209
F10,Trastornos relacionados con alcohol,F21,Trastorno esquizotípico,1.0658914729
F10,Trastornos relacionados con alcohol,F30,Episodio maníaco,1.0930232558
F10,Trastornos relacionados con alcohol,F31,Trastorno bipolar,1.0930232558
F10,Trastornos relacionados con alcohol,F32,"Trastorno depresivo mayor, episodio único",1.0930232558
F10,Trastornos relacionados con alcohol,F33,"Trastorno depresivo mayor, recurrente",1.0930232558
F10,Trastornos relacionados con alcohol,F34,Trastornos persistentes del estado de ánimo [afectivos],1.0658914729
F10,Trastornos relacionados con alcohol,F39,"Trastorno del estado de ánimo [afectivo], no especificado",1.0930232558
F10,Trastornos relacionados con alcohol,F40,Trastornos de ansiedad fóbica,1.023255814
F10,Trastornos relacionados con alcohol,F41,Otros trastornos de ansiedad,1.023255814
F10,Trastornos relacionados con alcohol,F42,Trastorno obsesivo-compulsivo,1.023255814
F10,Trastornos relacionados con alcohol,F44,Trastornos disociativos y de conversión,1.023255814
F10,Trastornos relacionados con alcohol,F45,Trastornos somatomorfos,1.023255814
F10,Trastornos relacionados con alcohol,F48,Otros trastornos mentales no psicóticos,1.023255814
F10,Trastornos relacionados con alcohol,F60,Trastornos específicos de personalidad,1.0658914729
