CÓDIGO,DESCRIPCIÓN,GRUPO EDAD,RATIO
A69,Otras infecciones por espiroquetas,46-55,1.55
A70,Clamidia psittaci infecciones,16-25,0.59
A70,Clamidia psittaci infecciones,26-35,0.76
A70,Clamidia psittaci infecciones,36-45,1.13
A70,Clamidia psittaci infecciones,46-55,1.51
A70,Clamidia psittaci infecciones,56-65,1.47
A74,Otras enfermedades causadas por clamidias,16-25,0.7
A74,Otras enfermedades causadas por clamidias,26-35,0.74
A74,Otras enfermedades causadas por clamidias,36-45,0.96
A74,Otras enfermedades causadas por clamidias,46-55,1.28
A74,Otras enfermedades causadas por clamidias,56-65,1.64
A77,Fiebre maculosa [rickettsiosis transmitida por garrapatas],26-35,0.37
A77,Fiebre maculosa [rickettsiosis transmitida por garrapatas],36-45,0.7
A77,Fiebre maculosa [rickettsiosis transmitida por garrapatas],46-55,2.35
A78,Fiebre Q,26-35,0.48
A78,Fiebre Q,36-45,0.82
A79,Otras rickettsiosis,26-35,0.48
A79,Otras rickettsiosis,36-45,0.82
A87,Meningitis viral,16-25,0.56
A87,Meningitis viral,26-35,0.79
A87,Meningitis viral,36-45,0.89
A87,Meningitis viral,46-55,2.24
A90,Fiebre del dengue [dengue clásico],16-25,0.7
A90,Fiebre del dengue [dengue clásico],26-35,0.92
A90,Fiebre del dengue [dengue clásico],36-45,1.15
A90,Fiebre del dengue [dengue clásico],46-55,1.01
A90,Fiebre del dengue [dengue clásico],56-65,1.04
A91,Fiebre del dengue hemorrágico,26-35,0.64
A91,Fiebre del dengue hemorrágico,36-45,1.43
A91,Fiebre del dengue hemorrágico,46-55,1.01
A92,Otras fiebres virales transmitidas por mosquitos,26-35,0.64
A92,Otras fiebres virales transmitidas por mosquitos,36-45,1.43
A92,Otras fiebres virales transmitidas por mosquitos,46-55,1.01
A93,"Otras fiebres virales transmitidas por artrópodos, no clasificadas bajo otro concepto",16-25,0.47
A93,"Otras fiebres virales transmitidas por artrópodos, no clasificadas bajo otro concepto",26-35,0.83
A93,"Otras fiebres virales transmitidas por artrópodos, no clasificadas bajo otro concepto",36-45,0.96
A93,"Otras fiebres virales transmitidas por artrópodos, no clasificadas bajo otro concepto",46-55,1.42
A93,"Otras fiebres virales transmitidas por artrópodos, no clasificadas bajo otro concepto",56-65,1.48
A95,Fiebre amarilla,26-35,0.54
A95,Fiebre amarilla,36-45,0.9
A98,"Otras fiebres virales hemorrágicas, no clasificadas bajo otro concepto",26-35,0.64
A98,"Otras fiebres virales hemorrágicas, no clasificadas bajo otro concepto",36-45,1.43
A98,"Otras fiebres virales hemorrágicas, no clasificadas bajo otro concepto",46-55,1.01
B00,Infecciones por herpesvirus [herpes simple],16-25,0.54
B00,Infecciones por herpesvirus [herpes simple],26-35,0.66
B00,Infecciones por herpesvirus [herpes simple],36-45,0.99
B00,Infecciones por herpesvirus [herpes simple],46-55,1.44
B00,Infecciones por herpesvirus [herpes simple],56-65,1.84
B01,Varicela,16-25,0.88
B01,Varicela,26-35,0.96
B01,Varicela,36-45,1.01
B01,Varicela,46-55,1.21
B01,Varicela,56-65,1.67
B02,Herpes zóster,16-25,0.47
B02,Herpes zóster,26-35,0.6
B02,Herpes zóster,36-45,0.79
B02,Herpes zóster,46-55,1.05
B02,Herpes zóster,56-65,1.43
B05,Sarampión,26-35,0.44
B05,Sarampión,36-45,1.16
B05,Sarampión,46-55,1.1
B05,Sarampión,56-65,1.51
B06,Rubeola [sarampión alemán],26-35,0.47
B06,Rubeola [sarampión alemán],36-45,1.04
B07,Verrugas víricas,16-25,0.73
B07,Verrugas víricas,26-35,0.81
B07,Verrugas víricas,36-45,0.88
B07,Verrugas víricas,46-55,1.29
B07,Verrugas víricas,56-65,1.84
B08,"Otras infecciones víricas caracterizadas por lesiones de la piel y de las mucosas, no clasificadas bajo otro concepto",26-35,0.55
B08,"Otras infecciones víricas caracterizadas por lesiones de la piel y de las mucosas, no clasificadas bajo otro concepto",36-45,1.03
B08,"Otras infecciones víricas caracterizadas por lesiones de la piel y de las mucosas, no clasificadas bajo otro concepto",46-55,0.83
B09,"Infección viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas",16-25,0.6
B09,"Infección viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas",26-35,0.75
B09,"Infección viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas",36-45,0.92
B09,"Infección viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas",46-55,1.88
B09,"Infección viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas",56-65,1.86
B15,Hepatitis aguda tipo A,16-25,0.38
B15,Hepatitis aguda tipo A,26-35,0.5
B15,Hepatitis aguda tipo A,36-45,0.77
B15,Hepatitis aguda tipo A,46-55,1.08
B15,Hepatitis aguda tipo A,56-65,1.28
B16,Hepatitis aguda tipo B,16-25,0.38
B16,Hepatitis aguda tipo B,26-35,0.5
B16,Hepatitis aguda tipo B,36-45,0.77
B16,Hepatitis aguda tipo B,46-55,1.08
B16,Hepatitis aguda tipo B,56-65,1.28
B17,Otras hepatitis víricas agudas,16-25,0.38
B17,Otras hepatitis víricas agudas,26-35,0.5
B17,Otras hepatitis víricas agudas,36-45,0.77
B17,Otras hepatitis víricas agudas,46-55,1.08
B17,Otras hepatitis víricas agudas,56-65,1.28
B18,Hepatitis vírica crónica,16-25,0.38
B18,Hepatitis vírica crónica,26-35,0.5
B18,Hepatitis vírica crónica,36-45,0.77
B18,Hepatitis vírica crónica,46-55,1.08
B18,Hepatitis vírica crónica,56-65,1.28
B19,"Hepatitis vírica, no especificada",16-25,0.38
B19,"Hepatitis vírica, no especificada",26-35,0.5
B19,"Hepatitis vírica, no especificada",36-45,0.77
B19,"Hepatitis vírica, no especificada",46-55,1.08
B19,"Hepatitis vírica, no especificada",56-65,1.28
B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],26-35,0.61
B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],36-45,0.94
B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],46-55,1.07
B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],56-65,1.88
B25,Enfermedad por citomegalovirus,16-25,0.73
B25,Enfermedad por citomegalovirus,26-35,0.81
B25,Enfermedad por citomegalovirus,36-45,0.88
B25,Enfermedad por citomegalovirus,46-55,1.29
B25,Enfermedad por citomegalovirus,56-65,1.84
B26,Parotiditis infecciosa,16-25,0.8
B26,Parotiditis infecciosa,26-35,0.96
B26,Parotiditis infecciosa,36-45,0.95
B26,Parotiditis infecciosa,46-55,1.1
B26,Parotiditis infecciosa,56-65,1.86
B27,Mononucleosis infecciosa,16-25,0.77
B27,Mononucleosis infecciosa,26-35,0.82
B27,Mononucleosis infecciosa,36-45,1.23
B27,Mononucleosis infecciosa,46-55,1.55
B27,Mononucleosis infecciosa,56-65,2.53
B30,Conjuntivitis viral,16-25,0.7
B30,Conjuntivitis viral,26-35,0.74
B30,Conjuntivitis viral,36-45,0.96
B30,Conjuntivitis viral,46-55,1.28
B30,Conjuntivitis viral,56-65,1.64
B33,"Otras enfermedades virales, no clasificadas bajo otro concepto",16-25,0.79
B33,"Otras enfermedades virales, no clasificadas bajo otro concepto",26-35,0.82
B33,"Otras enfermedades virales, no clasificadas bajo otro concepto",36-45,0.79
B33,"Otras enfermedades virales, no clasificadas bajo otro concepto",46-55,1.45
B33,"Otras enfermedades virales, no clasificadas bajo otro concepto",56-65,1.73
B34,Infección viral de localización no especificada,16-25,0.71
B34,Infección viral de localización no especificada,26-35,0.8
B34,Infección viral de localización no especificada,36-45,0.98
B34,Infección viral de localización no especificada,46-55,1.19
B34,Infección viral de localización no especificada,56-65,1.62
B35,Dermatofitosis,16-25,0.41
B35,Dermatofitosis,26-35,0.61
B35,Dermatofitosis,36-45,1.12
B35,Dermatofitosis,46-55,1.05
B35,Dermatofitosis,56-65,1.73
B36,Otras micosis superficiales,16-25,0.83
B36,Otras micosis superficiales,26-35,1.08
B36,Otras micosis superficiales,36-45,0.82
B36,Otras micosis superficiales,46-55,0.84
B36,Otras micosis superficiales,56-65,1.58
B37,Candidiasis,16-25,0.42
B37,Candidiasis,26-35,0.74
B37,Candidiasis,36-45,1.06
B37,Candidiasis,46-55,1.52
B37,Candidiasis,56-65,1.72
B49,"Micosis, no especificadas",26-35,0.51
B49,"Micosis, no especificadas",36-45,0.99
B49,"Micosis, no especificadas",46-55,1.25
B49,"Micosis, no especificadas",56-65,2.08
B54,Paludismo [malaria] no especificado,26-35,0.77
B54,Paludismo [malaria] no especificado,36-45,0.75
B54,Paludismo [malaria] no especificado,46-55,1.32
B55,Leishmaniasis,36-45,0.74
B64,"Enfermedad debida a protozoos, no especificada",26-35,0.46
B64,"Enfermedad debida a protozoos, no especificada",36-45,1.68
B67,Equinococosis,16-25,0.2
B67,Equinococosis,26-35,0.69
B67,Equinococosis,36-45,0.89
B67,Equinococosis,46-55,1.95
B67,Equinococosis,56-65,2.07
B85,Pediculosis e infestación por piojos,26-35,0.22
B85,Pediculosis e infestación por piojos,36-45,0.32
B86,Escabiosis,16-25,0.66
B86,Escabiosis,26-35,0.97
B86,Escabiosis,36-45,0.91
B86,Escabiosis,46-55,1.21
B86,Escabiosis,56-65,1.31
B89,"Enfermedad parasitaria, no especificada",16-25,0.32
B89,"Enfermedad parasitaria, no especificada",26-35,0.73
B89,"Enfermedad parasitaria, no especificada",36-45,1.11
B89,"Enfermedad parasitaria, no especificada",46-55,1.35
B89,"Enfermedad parasitaria, no especificada",56-65,1.23
B91,Secuelas de poliomielitis,46-55,1.02
B91,Secuelas de poliomielitis,56-65,1.12
B96,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,16-25,0.59
B96,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,26-35,0.8
B96,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,36-45,0.91
B96,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,46-55,1.13
B96,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,56-65,1.67
B97,Agentes virales como causa de enfermedades clasificadas bajo otro concepto,16-25,0.71
B97,Agentes virales como causa de enfermedades clasificadas bajo otro concepto,26-35,0.8
B97,Agentes virales como causa de enfermedades clasificadas bajo otro concepto,36-45,0.98
B97,Agentes virales como causa de enfermedades clasificadas bajo otro concepto,46-55,1.19
B97,Agentes virales como causa de enfermedades clasificadas bajo otro concepto,56-65,1.62
B99,Otras enfermedades infecciosas y las no especificadas,16-25,0.32
B99,Otras enfermedades infecciosas y las no especificadas,26-35,0.73
B99,Otras enfermedades infecciosas y las no especificadas,36-45,1.11
B99,Otras enfermedades infecciosas y las no especificadas,46-55,1.35
B99,Otras enfermedades infecciosas y las no especificadas,56-65,1.23
C01,Neoplasia maligna de base de la lengua,36-45,0.95
C01,Neoplasia maligna de base de la lengua,46-55,1.09
C01,Neoplasia maligna de base de la lengua,56-65,0.9
C02,Neoplasia maligna de otras partes de la lengua y de las no especificadas,36-45,0.95
C02,Neoplasia maligna de otras partes de la lengua y de las no especificadas,46-55,1.09
C02,Neoplasia maligna de otras partes de la lengua y de las no especificadas,56-65,0.9
C03,Neoplasia maligna de encía,46-55,0.87
C03,Neoplasia maligna de encía,56-65,1.28
C04,Neoplasia maligna de suelo de la boca,46-55,0.97
C06,Neoplasia maligna de otras partes de la boca y las no especificadas,36-45,0.98
C06,Neoplasia maligna de otras partes de la boca y las no especificadas,46-55,0.95
C06,Neoplasia maligna de otras partes de la boca y las no especificadas,56-65,1.11
C07,Neoplasia maligna de glándula parótida,26-35,0.46
C07,Neoplasia maligna de glándula parótida,36-45,0.66
C07,Neoplasia maligna de glándula parótida,46-55,1.17
C07,Neoplasia maligna de glándula parótida,56-65,1.39
C08,Neoplasia maligna de otras glándulas salivales mayores y las no especificadas,26-35,0.46
C08,Neoplasia maligna de otras glándulas salivales mayores y las no especificadas,36-45,0.66
C08,Neoplasia maligna de otras glándulas salivales mayores y las no especificadas,46-55,1.17
C08,Neoplasia maligna de otras glándulas salivales mayores y las no especificadas,56-65,1.39
C09,Neoplasia maligna de amígdala,46-55,0.98
C09,Neoplasia maligna de amígdala,56-65,1.09
C10,Neoplasia maligna de orofaringe,46-55,0.98
C10,Neoplasia maligna de orofaringe,56-65,1.09
C11,Neoplasia maligna de nasofaringe,46-55,0.95
C11,Neoplasia maligna de nasofaringe,56-65,1.21
C12,Neoplasia maligna de seno piriforme,56-65,0.88
C13,Neoplasia maligna de hipofaringe,56-65,0.88
C14,"Neoplasia maligna de otras localizaciones y las mal definidas en labio, cavidad oral y faringe",46-55,1.09
C14,"Neoplasia maligna de otras localizaciones y las mal definidas en labio, cavidad oral y faringe",56-65,1.05
C15,Neoplasia maligna de esófago,36-45,1.08
C15,Neoplasia maligna de esófago,46-55,1.04
C15,Neoplasia maligna de esófago,56-65,0.95
C16,Neoplasia maligna de estómago,26-35,0.89
C16,Neoplasia maligna de estómago,36-45,0.93
C16,Neoplasia maligna de estómago,46-55,0.99
C16,Neoplasia maligna de estómago,56-65,1.04
C17,Neoplasia maligna de intestino delgado,46-55,0.92
C17,Neoplasia maligna de intestino delgado,56-65,1.1
C18,Neoplasia maligna de colon,26-35,0.76
C18,Neoplasia maligna de colon,36-45,0.93
C18,Neoplasia maligna de colon,46-55,0.95
C18,Neoplasia maligna de colon,56-65,1.05
C19,Neoplasia maligna de unión rectosigmoidea,26-35,0.71
C19,Neoplasia maligna de unión rectosigmoidea,36-45,0.84
C19,Neoplasia maligna de unión rectosigmoidea,46-55,0.95
C19,Neoplasia maligna de unión rectosigmoidea,56-65,1.09
C20,Neoplasia maligna de recto,26-35,0.71
C20,Neoplasia maligna de recto,36-45,0.84
C20,Neoplasia maligna de recto,46-55,0.95
C20,Neoplasia maligna de recto,56-65,1.09
C21,Neoplasia maligna de ano y canal anal,26-35,0.71
C21,Neoplasia maligna de ano y canal anal,36-45,0.84
C21,Neoplasia maligna de ano y canal anal,46-55,0.95
C21,Neoplasia maligna de ano y canal anal,56-65,1.09
C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,36-45,0.98
C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,46-55,0.97
C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,56-65,1.03
C23,Neoplasia maligna de vesícula biliar,46-55,1.05
C23,Neoplasia maligna de vesícula biliar,56-65,1.02
C24,Neoplasia maligna de otras partes de tracto biliar y las no especificadas ,46-55,1.05
C24,Neoplasia maligna de otras partes de tracto biliar y las no especificadas ,56-65,1.02
C25,Neoplasia maligna de páncreas,36-45,1
C25,Neoplasia maligna de páncreas,46-55,0.99
C25,Neoplasia maligna de páncreas,56-65,1.03
C26,Neoplasia maligna de otros órganos digestivos y de los mal definidos,46-55,0.95
C26,Neoplasia maligna de otros órganos digestivos y de los mal definidos,56-65,1.08
C30,Neoplasia maligna de cavidad nasal y de oído medio,36-45,0.61
C30,Neoplasia maligna de cavidad nasal y de oído medio,46-55,1.13
C30,Neoplasia maligna de cavidad nasal y de oído medio,56-65,1.14
C31,Neoplasia maligna de senos accesorios,36-45,0.61
C31,Neoplasia maligna de senos accesorios,46-55,1.13
C31,Neoplasia maligna de senos accesorios,56-65,1.14
C32,Neoplasia maligna de laringe,36-45,0.75
C32,Neoplasia maligna de laringe,46-55,1.01
C32,Neoplasia maligna de laringe,56-65,1.05
C33,Neoplasia maligna de tráquea,26-35,0.68
C33,Neoplasia maligna de tráquea,36-45,0.9
C33,Neoplasia maligna de tráquea,46-55,1.02
C33,Neoplasia maligna de tráquea,56-65,1.01
C34,Neoplasia maligna de bronquio y pulmón,26-35,0.68
C34,Neoplasia maligna de bronquio y pulmón,36-45,0.9
C34,Neoplasia maligna de bronquio y pulmón,46-55,1.02
C34,Neoplasia maligna de bronquio y pulmón,56-65,1.01
C40,Neoplasia maligna de hueso y de cartílago articular de extremidades,26-35,1.03
C40,Neoplasia maligna de hueso y de cartílago articular de extremidades,36-45,0.84
C40,Neoplasia maligna de hueso y de cartílago articular de extremidades,46-55,1.16
C40,Neoplasia maligna de hueso y de cartílago articular de extremidades,56-65,1.08
C41,Neoplasia maligna de hueso y de cartílago articular de otras localizaciones y las no especificadas,26-35,1.03
C41,Neoplasia maligna de hueso y de cartílago articular de otras localizaciones y las no especificadas,36-45,0.84
C41,Neoplasia maligna de hueso y de cartílago articular de otras localizaciones y las no especificadas,46-55,1.16
C41,Neoplasia maligna de hueso y de cartílago articular de otras localizaciones y las no especificadas,56-65,1.08
C43,Melanoma maligno de piel,16-25,0.55
C43,Melanoma maligno de piel,26-35,0.74
C43,Melanoma maligno de piel,36-45,0.93
C43,Melanoma maligno de piel,46-55,1.05
C43,Melanoma maligno de piel,56-65,1.17
C44,Otras neoplasias malignas y las no especificadas de piel,26-35,0.95
C44,Otras neoplasias malignas y las no especificadas de piel,36-45,0.9
C44,Otras neoplasias malignas y las no especificadas de piel,46-55,0.91
C44,Otras neoplasias malignas y las no especificadas de piel,56-65,1.16
C49,Neoplasia maligna de tejido conjuntivo y otros tejidos blandos,26-35,0.65
C49,Neoplasia maligna de tejido conjuntivo y otros tejidos blandos,36-45,1.02
C49,Neoplasia maligna de tejido conjuntivo y otros tejidos blandos,46-55,1.01
C49,Neoplasia maligna de tejido conjuntivo y otros tejidos blandos,56-65,1.14
C50,Neoplasia maligna de mama,26-35,0.86
C50,Neoplasia maligna de mama,36-45,0.96
C50,Neoplasia maligna de mama,46-55,0.99
C50,Neoplasia maligna de mama,56-65,1.09
C51,Neoplasia maligna de vulva,36-45,1.24
C51,Neoplasia maligna de vulva,46-55,0.81
C51,Neoplasia maligna de vulva,56-65,1.05
C52,Neoplasia maligna de vagina,36-45,1.24
C52,Neoplasia maligna de vagina,46-55,0.81
C52,Neoplasia maligna de vagina,56-65,1.05
C53,Neoplasia maligna de cuello de útero,16-25,0.96
C53,Neoplasia maligna de cuello de útero,26-35,0.44
C53,Neoplasia maligna de cuello de útero,36-45,0.91
C53,Neoplasia maligna de cuello de útero,46-55,1.24
C53,Neoplasia maligna de cuello de útero,56-65,1.89
C54,Neoplasia maligna de cuerpo de útero,26-35,0.58
C54,Neoplasia maligna de cuerpo de útero,36-45,0.82
C54,Neoplasia maligna de cuerpo de útero,46-55,0.98
C54,Neoplasia maligna de cuerpo de útero,56-65,1.16
C56,Neoplasia maligna de ovario,26-35,0.67
C56,Neoplasia maligna de ovario,36-45,0.97
C56,Neoplasia maligna de ovario,46-55,1.04
C56,Neoplasia maligna de ovario,56-65,1.08
C57,Neoplasia maligna de otros órganos genitales femeninos y los no especificadas,26-35,0.67
C57,Neoplasia maligna de otros órganos genitales femeninos y los no especificadas,36-45,0.97
C57,Neoplasia maligna de otros órganos genitales femeninos y los no especificadas,46-55,1.04
C57,Neoplasia maligna de otros órganos genitales femeninos y los no especificadas,56-65,1.08
C60,Neoplasia maligna de pene,26-35,1.2
C60,Neoplasia maligna de pene,36-45,0.94
C60,Neoplasia maligna de pene,46-55,0.75
C61,Neoplasia maligna de próstata,36-45,0.88
C61,Neoplasia maligna de próstata,46-55,0.91
C61,Neoplasia maligna de próstata,56-65,1.04
C62,Neoplasia maligna de testículo,16-25,1.07
C62,Neoplasia maligna de testículo,26-35,0.92
C62,Neoplasia maligna de testículo,36-45,0.99
C62,Neoplasia maligna de testículo,46-55,1.18
C62,Neoplasia maligna de testículo,56-65,1.11
C63,Neoplasia maligna de otros órganos genitales masculinos y los no especificados,26-35,1.2
C63,Neoplasia maligna de otros órganos genitales masculinos y los no especificados,36-45,0.94
C63,Neoplasia maligna de otros órganos genitales masculinos y los no especificados,46-55,0.75
C65,Neoplasia maligna de pelvis renal,26-35,0.82
C65,Neoplasia maligna de pelvis renal,36-45,0.85
C65,Neoplasia maligna de pelvis renal,46-55,0.96
C65,Neoplasia maligna de pelvis renal,56-65,1.11
C66,Neoplasia maligna de uréter,26-35,0.82
C66,Neoplasia maligna de uréter,36-45,0.85
C66,Neoplasia maligna de uréter,46-55,0.96
C66,Neoplasia maligna de uréter,56-65,1.11
C67,Neoplasia maligna de vejiga,26-35,0.55
C67,Neoplasia maligna de vejiga,36-45,0.67
C67,Neoplasia maligna de vejiga,46-55,0.97
C67,Neoplasia maligna de vejiga,56-65,1.08
C68,Neoplasia maligna de otros órganos urinarios y los no especificados,26-35,0.82
C68,Neoplasia maligna de otros órganos urinarios y los no especificados,36-45,0.85
C68,Neoplasia maligna de otros órganos urinarios y los no especificados,46-55,0.96
C68,Neoplasia maligna de otros órganos urinarios y los no especificados,56-65,1.11
C69,Neoplasia maligna de ojo y sus anexos,36-45,1.16
C69,Neoplasia maligna de ojo y sus anexos,46-55,0.96
C69,Neoplasia maligna de ojo y sus anexos,56-65,1.18
C70,Neoplasia maligna de meninges,26-35,0.92
C70,Neoplasia maligna de meninges,36-45,1.07
C70,Neoplasia maligna de meninges,46-55,1.05
C70,Neoplasia maligna de meninges,56-65,0.84
C71,Neoplasia maligna de cerebro,26-35,0.95
C71,Neoplasia maligna de cerebro,36-45,1.05
C71,Neoplasia maligna de cerebro,46-55,0.99
C71,Neoplasia maligna de cerebro,56-65,0.99
C72,"Neoplasia maligna de médula espinal, nervios craneales y otras partes de sistema nervioso central",26-35,0.92
C72,"Neoplasia maligna de médula espinal, nervios craneales y otras partes de sistema nervioso central",36-45,1.07
C72,"Neoplasia maligna de médula espinal, nervios craneales y otras partes de sistema nervioso central",46-55,1.05
C72,"Neoplasia maligna de médula espinal, nervios craneales y otras partes de sistema nervioso central",56-65,0.84
C73,Neoplasia maligna de glándula tiroides,16-25,0.65
C73,Neoplasia maligna de glándula tiroides,26-35,0.77
C73,Neoplasia maligna de glándula tiroides,36-45,0.95
C73,Neoplasia maligna de glándula tiroides,46-55,1.05
C73,Neoplasia maligna de glándula tiroides,56-65,1.35
C74,Neoplasia maligna de glándula suprarrenal,36-45,1.05
