CÓDIGO,DESCRIPCIÓN,GRUPO DE OCUPACIÓN,RATIO
B17,Otras hepatitis víricas agudas,9,1.03
B17,Otras hepatitis víricas agudas,10,1.09
B17,Otras hepatitis víricas agudas,11,1.17
B17,Otras hepatitis víricas agudas,12,1.16
B17,Otras hepatitis víricas agudas,13,1.23
B17,Otras hepatitis víricas agudas,14,1.07
B17,Otras hepatitis víricas agudas,15,1.06
B17,Otras hepatitis víricas agudas,16,1.09
B18,Hepatitis vírica crónica,1,0.93
B18,Hepatitis vírica crónica,2,0.88
B18,Hepatitis vírica crónica,3,1.04
B18,Hepatitis vírica crónica,4,1.01
B18,Hepatitis vírica crónica,5,1.04
B18,Hepatitis vírica crónica,6,1.01
B18,Hepatitis vírica crónica,7,1.1
B18,Hepatitis vírica crónica,8,1.03
B18,Hepatitis vírica crónica,9,1.03
B18,Hepatitis vírica crónica,10,1.09
B18,Hepatitis vírica crónica,11,1.17
B18,Hepatitis vírica crónica,12,1.16
B18,Hepatitis vírica crónica,13,1.23
B18,Hepatitis vírica crónica,14,1.07
B18,Hepatitis vírica crónica,15,1.06
B18,Hepatitis vírica crónica,16,1.09
B19,"Hepatitis vírica, no especificada",1,0.93
B19,"Hepatitis vírica, no especificada",2,0.88
B19,"Hepatitis vírica, no especificada",3,1.04
B19,"Hepatitis vírica, no especificada",4,1.01
B19,"Hepatitis vírica, no especificada",5,1.04
B19,"Hepatitis vírica, no especificada",6,1.01
B19,"Hepatitis vírica, no especificada",7,1.1
B19,"Hepatitis vírica, no especificada",8,1.03
B19,"Hepatitis vírica, no especificada",9,1.03
B19,"Hepatitis vírica, no especificada",10,1.09
B19,"Hepatitis vírica, no especificada",11,1.17
B19,"Hepatitis vírica, no especificada",12,1.16
B19,"Hepatitis vírica, no especificada",13,1.23
B19,"Hepatitis vírica, no especificada",14,1.07
B19,"Hepatitis vírica, no especificada",15,1.06
B19,"Hepatitis vírica, no especificada",16,1.09
B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],5,1.02
B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],6,1
B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],7,1.06
B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],8,1.02
B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],11,1.09
B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],14,1.16
B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],15,1.03
B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],16,1.16
B25,Enfermedad por citomegalovirus,7,1.02
B25,Enfermedad por citomegalovirus,8,1.13
B25,Enfermedad por citomegalovirus,15,1.3
B27,Mononucleosis infecciosa,2,0.58
B30,Conjuntivitis viral,2,0.62
B30,Conjuntivitis viral,5,1.37
B30,Conjuntivitis viral,8,0.95
B30,Conjuntivitis viral,15,1.07
B34,Infección viral de localización no especificada,2,1.16
B34,Infección viral de localización no especificada,5,0.56
B34,Infección viral de localización no especificada,7,1.82
B34,Infección viral de localización no especificada,8,0.85
B34,Infección viral de localización no especificada,15,1.15
B91,Secuelas de poliomielitis,5,1.21
B91,Secuelas de poliomielitis,15,1.17
B96,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,15,1.04
B97,Agentes virales como causa de enfermedades clasificadas bajo otro concepto,2,1.16
B97,Agentes virales como causa de enfermedades clasificadas bajo otro concepto,5,0.56
B97,Agentes virales como causa de enfermedades clasificadas bajo otro concepto,7,1.82
B97,Agentes virales como causa de enfermedades clasificadas bajo otro concepto,8,0.85
B97,Agentes virales como causa de enfermedades clasificadas bajo otro concepto,15,1.15
C01,Neoplasia maligna de base de la lengua,7,1.05
C01,Neoplasia maligna de base de la lengua,12,1.13
C01,Neoplasia maligna de base de la lengua,14,1.26
C01,Neoplasia maligna de base de la lengua,15,1.01
C01,Neoplasia maligna de base de la lengua,16,1.05
C02,Neoplasia maligna de otras partes de la lengua y de las no especificadas,7,1.05
C02,Neoplasia maligna de otras partes de la lengua y de las no especificadas,12,1.13
C02,Neoplasia maligna de otras partes de la lengua y de las no especificadas,14,1.26
C02,Neoplasia maligna de otras partes de la lengua y de las no especificadas,15,1.01
C02,Neoplasia maligna de otras partes de la lengua y de las no especificadas,16,1.05
C06,Neoplasia maligna de otras partes de la boca y las no especificadas,1,1.04
C06,Neoplasia maligna de otras partes de la boca y las no especificadas,2,1.04
C06,Neoplasia maligna de otras partes de la boca y las no especificadas,4,0.93
C06,Neoplasia maligna de otras partes de la boca y las no especificadas,5,0.95
C06,Neoplasia maligna de otras partes de la boca y las no especificadas,6,1.14
C06,Neoplasia maligna de otras partes de la boca y las no especificadas,7,1.09
C06,Neoplasia maligna de otras partes de la boca y las no especificadas,8,1
C06,Neoplasia maligna de otras partes de la boca y las no especificadas,10,1.02
C06,Neoplasia maligna de otras partes de la boca y las no especificadas,11,1.05
C06,Neoplasia maligna de otras partes de la boca y las no especificadas,12,1.02
C06,Neoplasia maligna de otras partes de la boca y las no especificadas,14,1.12
C06,Neoplasia maligna de otras partes de la boca y las no especificadas,15,1
C06,Neoplasia maligna de otras partes de la boca y las no especificadas,16,0.98
C11,Neoplasia maligna de nasofaringe,4,1.04
C11,Neoplasia maligna de nasofaringe,5,1.12
C11,Neoplasia maligna de nasofaringe,6,1.03
C11,Neoplasia maligna de nasofaringe,7,1.02
C11,Neoplasia maligna de nasofaringe,11,0.93
C11,Neoplasia maligna de nasofaringe,12,1.11
C11,Neoplasia maligna de nasofaringe,14,1.18
C11,Neoplasia maligna de nasofaringe,15,0.97
C11,Neoplasia maligna de nasofaringe,16,1.01
C15,Neoplasia maligna de esófago,1,0.95
C15,Neoplasia maligna de esófago,2,1.17
C15,Neoplasia maligna de esófago,4,1.19
C15,Neoplasia maligna de esófago,5,0.86
C15,Neoplasia maligna de esófago,7,1.14
C15,Neoplasia maligna de esófago,8,1.01
C15,Neoplasia maligna de esófago,11,0.85
C15,Neoplasia maligna de esófago,12,1.04
C15,Neoplasia maligna de esófago,14,1.04
C15,Neoplasia maligna de esófago,15,1.15
C15,Neoplasia maligna de esófago,16,0.96
C16,Neoplasia maligna de estómago,1,1.06
C16,Neoplasia maligna de estómago,2,1
C16,Neoplasia maligna de estómago,3,1.14
C16,Neoplasia maligna de estómago,4,1.09
C16,Neoplasia maligna de estómago,5,1.03
C16,Neoplasia maligna de estómago,6,0.87
C16,Neoplasia maligna de estómago,7,1.06
C16,Neoplasia maligna de estómago,8,1.04
C16,Neoplasia maligna de estómago,10,0.93
C16,Neoplasia maligna de estómago,11,1.06
C16,Neoplasia maligna de estómago,12,1.07
C16,Neoplasia maligna de estómago,13,1.13
C16,Neoplasia maligna de estómago,14,1.08
C16,Neoplasia maligna de estómago,15,1.04
C16,Neoplasia maligna de estómago,16,0.99
C18,Neoplasia maligna de colon,1,1.02
C18,Neoplasia maligna de colon,2,0.94
C18,Neoplasia maligna de colon,3,1.03
C18,Neoplasia maligna de colon,4,1.05
C18,Neoplasia maligna de colon,5,1.04
C18,Neoplasia maligna de colon,6,1.03
C18,Neoplasia maligna de colon,7,1.02
C18,Neoplasia maligna de colon,8,1.08
C18,Neoplasia maligna de colon,9,1.13
C18,Neoplasia maligna de colon,10,1.05
C18,Neoplasia maligna de colon,11,1.04
C18,Neoplasia maligna de colon,12,1.05
C18,Neoplasia maligna de colon,13,1.08
C18,Neoplasia maligna de colon,14,1.05
C18,Neoplasia maligna de colon,15,1.03
C18,Neoplasia maligna de colon,16,1.02
C19,Neoplasia maligna de unión rectosigmoidea,6,1.13
C19,Neoplasia maligna de unión rectosigmoidea,7,1
C19,Neoplasia maligna de unión rectosigmoidea,8,1.04
C19,Neoplasia maligna de unión rectosigmoidea,9,1.09
C19,Neoplasia maligna de unión rectosigmoidea,10,0.95
C19,Neoplasia maligna de unión rectosigmoidea,11,0.99
C19,Neoplasia maligna de unión rectosigmoidea,12,1.02
C19,Neoplasia maligna de unión rectosigmoidea,13,1.07
C19,Neoplasia maligna de unión rectosigmoidea,14,1.01
C19,Neoplasia maligna de unión rectosigmoidea,15,0.99
C19,Neoplasia maligna de unión rectosigmoidea,16,1.01
C19,Neoplasia maligna de unión rectosigmoidea,1,0.99
C19,Neoplasia maligna de unión rectosigmoidea,2,1.02
C19,Neoplasia maligna de unión rectosigmoidea,3,1.04
C19,Neoplasia maligna de unión rectosigmoidea,4,1.02
C19,Neoplasia maligna de unión rectosigmoidea,5,1.06
C20,Neoplasia maligna de recto,1,0.99
C20,Neoplasia maligna de recto,2,1.02
C20,Neoplasia maligna de recto,3,1.04
C20,Neoplasia maligna de recto,4,1.02
C20,Neoplasia maligna de recto,5,1.06
C20,Neoplasia maligna de recto,6,1.13
C20,Neoplasia maligna de recto,7,1
C20,Neoplasia maligna de recto,8,1.04
C20,Neoplasia maligna de recto,9,1.09
C20,Neoplasia maligna de recto,10,0.95
C20,Neoplasia maligna de recto,11,0.99
C20,Neoplasia maligna de recto,12,1.02
C20,Neoplasia maligna de recto,13,1.07
C20,Neoplasia maligna de recto,14,1.01
C20,Neoplasia maligna de recto,15,0.99
C20,Neoplasia maligna de recto,16,1.01
C21,Neoplasia maligna de ano y canal anal,1,0.99
C21,Neoplasia maligna de ano y canal anal,2,1.02
C21,Neoplasia maligna de ano y canal anal,3,1.04
C21,Neoplasia maligna de ano y canal anal,4,1.02
C21,Neoplasia maligna de ano y canal anal,5,1.06
C21,Neoplasia maligna de ano y canal anal,6,1.13
C21,Neoplasia maligna de ano y canal anal,7,1
C21,Neoplasia maligna de ano y canal anal,8,1.04
C21,Neoplasia maligna de ano y canal anal,9,1.09
C21,Neoplasia maligna de ano y canal anal,10,0.95
C21,Neoplasia maligna de ano y canal anal,11,0.99
C21,Neoplasia maligna de ano y canal anal,12,1.02
C21,Neoplasia maligna de ano y canal anal,13,1.07
C21,Neoplasia maligna de ano y canal anal,14,1.01
C21,Neoplasia maligna de ano y canal anal,15,0.99
C21,Neoplasia maligna de ano y canal anal,16,1.01
C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,1,1.13
C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,2,0.92
C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,4,1.11
C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,5,1.09
C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,6,1.09
C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,7,1.02
C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,8,1.05
C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,11,1.03
C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,12,1.09
C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,14,1.05
C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,15,1.04
C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,16,1.01
C25,Neoplasia maligna de páncreas,1,0.99
C25,Neoplasia maligna de páncreas,2,1.03
C25,Neoplasia maligna de páncreas,3,1.08
C25,Neoplasia maligna de páncreas,4,1.07
C25,Neoplasia maligna de páncreas,5,1.05
C25,Neoplasia maligna de páncreas,6,1.09
C25,Neoplasia maligna de páncreas,7,1
C25,Neoplasia maligna de páncreas,8,1.01
C25,Neoplasia maligna de páncreas,10,1.06
C25,Neoplasia maligna de páncreas,11,0.99
C25,Neoplasia maligna de páncreas,12,1.16
C25,Neoplasia maligna de páncreas,14,1.07
C25,Neoplasia maligna de páncreas,15,1.08
C25,Neoplasia maligna de páncreas,16,0.97
C26,Neoplasia maligna de otros órganos digestivos y de los mal definidos,2,0.89
C26,Neoplasia maligna de otros órganos digestivos y de los mal definidos,4,1.08
C26,Neoplasia maligna de otros órganos digestivos y de los mal definidos,5,1.08
C26,Neoplasia maligna de otros órganos digestivos y de los mal definidos,7,1.09
C26,Neoplasia maligna de otros órganos digestivos y de los mal definidos,8,1.13
C26,Neoplasia maligna de otros órganos digestivos y de los mal definidos,12,0.99
C26,Neoplasia maligna de otros órganos digestivos y de los mal definidos,15,1.08
C26,Neoplasia maligna de otros órganos digestivos y de los mal definidos,16,1.12
C32,Neoplasia maligna de laringe,1,0.99
C32,Neoplasia maligna de laringe,2,0.99
C32,Neoplasia maligna de laringe,3,1.15
C32,Neoplasia maligna de laringe,4,1.13
C32,Neoplasia maligna de laringe,5,1.06
C32,Neoplasia maligna de laringe,6,0.97
C32,Neoplasia maligna de laringe,7,1.08
C32,Neoplasia maligna de laringe,8,1.05
C32,Neoplasia maligna de laringe,10,1.02
C32,Neoplasia maligna de laringe,11,0.97
C32,Neoplasia maligna de laringe,12,1.06
C32,Neoplasia maligna de laringe,13,0.98
C32,Neoplasia maligna de laringe,14,1.02
C32,Neoplasia maligna de laringe,15,0.98
C32,Neoplasia maligna de laringe,16,0.94
C33,Neoplasia maligna de tráquea,1,1.06
C33,Neoplasia maligna de tráquea,2,1.01
C33,Neoplasia maligna de tráquea,3,1.1
C33,Neoplasia maligna de tráquea,4,1.11
C33,Neoplasia maligna de tráquea,5,1.05
C33,Neoplasia maligna de tráquea,6,1.11
C33,Neoplasia maligna de tráquea,7,1.06
C33,Neoplasia maligna de tráquea,8,1.07
C33,Neoplasia maligna de tráquea,9,1.03
C33,Neoplasia maligna de tráquea,10,0.97
C33,Neoplasia maligna de tráquea,11,0.97
C33,Neoplasia maligna de tráquea,12,1.05
C33,Neoplasia maligna de tráquea,13,1.05
C33,Neoplasia maligna de tráquea,14,1.08
C33,Neoplasia maligna de tráquea,15,1.05
C33,Neoplasia maligna de tráquea,16,0.96
C34,Neoplasia maligna de bronquio y pulmón,1,1.06
C34,Neoplasia maligna de bronquio y pulmón,2,1.01
C34,Neoplasia maligna de bronquio y pulmón,3,1.1
C34,Neoplasia maligna de bronquio y pulmón,4,1.11
C34,Neoplasia maligna de bronquio y pulmón,5,1.05
C34,Neoplasia maligna de bronquio y pulmón,6,1.11
C34,Neoplasia maligna de bronquio y pulmón,7,1.06
C34,Neoplasia maligna de bronquio y pulmón,8,1.07
C34,Neoplasia maligna de bronquio y pulmón,9,1.03
C34,Neoplasia maligna de bronquio y pulmón,10,0.97
C34,Neoplasia maligna de bronquio y pulmón,11,0.97
C34,Neoplasia maligna de bronquio y pulmón,12,1.05
C34,Neoplasia maligna de bronquio y pulmón,13,1.05
C34,Neoplasia maligna de bronquio y pulmón,14,1.08
C34,Neoplasia maligna de bronquio y pulmón,15,1.05
C34,Neoplasia maligna de bronquio y pulmón,16,0.96
C40,Neoplasia maligna de hueso y de cartílago articular de extremidades,2,0.93
C40,Neoplasia maligna de hueso y de cartílago articular de extremidades,4,1.07
C40,Neoplasia maligna de hueso y de cartílago articular de extremidades,7,1
C40,Neoplasia maligna de hueso y de cartílago articular de extremidades,8,1.01
C40,Neoplasia maligna de hueso y de cartílago articular de extremidades,15,0.92
C41,Neoplasia maligna de hueso y de cartílago articular de otras localizaciones y las no especificadas,2,0.93
C41,Neoplasia maligna de hueso y de cartílago articular de otras localizaciones y las no especificadas,4,1.07
C41,Neoplasia maligna de hueso y de cartílago articular de otras localizaciones y las no especificadas,7,1
C41,Neoplasia maligna de hueso y de cartílago articular de otras localizaciones y las no especificadas,8,1.01
C41,Neoplasia maligna de hueso y de cartílago articular de otras localizaciones y las no especificadas,15,0.92
C43,Melanoma maligno de piel,1,1.23
C43,Melanoma maligno de piel,2,0.95
C43,Melanoma maligno de piel,3,1.28
C43,Melanoma maligno de piel,4,1.07
C43,Melanoma maligno de piel,5,0.93
C43,Melanoma maligno de piel,6,0.99
C43,Melanoma maligno de piel,7,1.04
C43,Melanoma maligno de piel,8,1.01
C43,Melanoma maligno de piel,10,1.04
C43,Melanoma maligno de piel,11,1.11
C43,Melanoma maligno de piel,12,1.21
C43,Melanoma maligno de piel,13,1.06
C43,Melanoma maligno de piel,14,1.16
C43,Melanoma maligno de piel,15,1.03
C43,Melanoma maligno de piel,16,0.99
C44,Otras neoplasias malignas y las no especificadas de piel,2,0.97
C44,Otras neoplasias malignas y las no especificadas de piel,4,1.36
C44,Otras neoplasias malignas y las no especificadas de piel,5,0.91
C44,Otras neoplasias malignas y las no especificadas de piel,7,1.08
C44,Otras neoplasias malignas y las no especificadas de piel,8,1.23
C44,Otras neoplasias malignas y las no especificadas de piel,15,1.24
C44,Otras neoplasias malignas y las no especificadas de piel,16,1.2
C50,Neoplasia maligna de mama,1,1.03
C50,Neoplasia maligna de mama,2,0.98
C50,Neoplasia maligna de mama,3,1.01
C50,Neoplasia maligna de mama,4,1.03
C50,Neoplasia maligna de mama,5,1.01
C50,Neoplasia maligna de mama,6,1.01
C50,Neoplasia maligna de mama,7,1.05
C50,Neoplasia maligna de mama,8,1.04
C50,Neoplasia maligna de mama,9,1.06
C50,Neoplasia maligna de mama,10,1.01
C50,Neoplasia maligna de mama,11,1.07
C50,Neoplasia maligna de mama,12,1.05
C50,Neoplasia maligna de mama,13,1.06
C50,Neoplasia maligna de mama,14,1.1
C50,Neoplasia maligna de mama,15,1.03
C50,Neoplasia maligna de mama,16,1.02
C50,Neoplasia maligna de mama,17,0.91
C51,Neoplasia maligna de vulva,15,0.94
C52,Neoplasia maligna de vagina,15,0.94
C53,Neoplasia maligna de cuello de útero,1,1.2
C53,Neoplasia maligna de cuello de útero,2,0.98
C53,Neoplasia maligna de cuello de útero,3,1.12
C53,Neoplasia maligna de cuello de útero,4,1.13
C53,Neoplasia maligna de cuello de útero,5,1.12
C53,Neoplasia maligna de cuello de útero,6,0.96
C53,Neoplasia maligna de cuello de útero,7,1.11
C53,Neoplasia maligna de cuello de útero,8,1.08
C53,Neoplasia maligna de cuello de útero,12,1.08
C53,Neoplasia maligna de cuello de útero,15,1.02
C53,Neoplasia maligna de cuello de útero,16,1.08
C54,Neoplasia maligna de cuerpo de útero,2,1.08
C54,Neoplasia maligna de cuerpo de útero,7,1.27
C54,Neoplasia maligna de cuerpo de útero,8,0.84
C54,Neoplasia maligna de cuerpo de útero,15,1.07
C56,Neoplasia maligna de ovario,1,1.08
C56,Neoplasia maligna de ovario,2,1.02
C56,Neoplasia maligna de ovario,3,1.11
C56,Neoplasia maligna de ovario,4,1.01
C56,Neoplasia maligna de ovario,5,1.04
C56,Neoplasia maligna de ovario,6,1.04
C56,Neoplasia maligna de ovario,7,1.04
C56,Neoplasia maligna de ovario,8,1.05
C56,Neoplasia maligna de ovario,10,1.01
C56,Neoplasia maligna de ovario,12,1.03
C56,Neoplasia maligna de ovario,13,1.07
C56,Neoplasia maligna de ovario,15,1.03
C56,Neoplasia maligna de ovario,16,0.88
C57,Neoplasia maligna de otros órganos genitales femeninos y los no especificadas,1,1.08
C57,Neoplasia maligna de otros órganos genitales femeninos y los no especificadas,2,1.02
C57,Neoplasia maligna de otros órganos genitales femeninos y los no especificadas,3,1.11
C57,Neoplasia maligna de otros órganos genitales femeninos y los no especificadas,4,1.01
C57,Neoplasia maligna de otros órganos genitales femeninos y los no especificadas,5,1.04
C57,Neoplasia maligna de otros órganos genitales femeninos y los no especificadas,6,1.04
C57,Neoplasia maligna de otros órganos genitales femeninos y los no especificadas,7,1.04
C57,Neoplasia maligna de otros órganos genitales femeninos y los no especificadas,8,1.05
C57,Neoplasia maligna de otros órganos genitales femeninos y los no especificadas,10,1.01
C57,Neoplasia maligna de otros órganos genitales femeninos y los no especificadas,12,1.03
C57,Neoplasia maligna de otros órganos genitales femeninos y los no especificadas,13,1.07
C57,Neoplasia maligna de otros órganos genitales femeninos y los no especificadas,15,1.03
C57,Neoplasia maligna de otros órganos genitales femeninos y los no especificadas,16,0.88
C61,Neoplasia maligna de próstata,1,1.13
C61,Neoplasia maligna de próstata,2,0.91
C61,Neoplasia maligna de próstata,3,0.97
C61,Neoplasia maligna de próstata,4,1.07
C61,Neoplasia maligna de próstata,5,0.93
C61,Neoplasia maligna de próstata,6,1.05
C61,Neoplasia maligna de próstata,7,1.05
C61,Neoplasia maligna de próstata,8,1.11
C61,Neoplasia maligna de próstata,9,1
C61,Neoplasia maligna de próstata,10,1.05
C61,Neoplasia maligna de próstata,11,1.12
C61,Neoplasia maligna de próstata,12,1.16
C61,Neoplasia maligna de próstata,13,1.1
C61,Neoplasia maligna de próstata,14,1.08
C61,Neoplasia maligna de próstata,15,0.97
C61,Neoplasia maligna de próstata,16,1.03
C62,Neoplasia maligna de testículo,4,1.25
C62,Neoplasia maligna de testículo,5,0.94
C62,Neoplasia maligna de testículo,7,1.01
C62,Neoplasia maligna de testículo,10,1.2
C62,Neoplasia maligna de testículo,11,1.04
C62,Neoplasia maligna de testículo,12,1.17
C62,Neoplasia maligna de testículo,13,1.01
C62,Neoplasia maligna de testículo,14,1.15
C62,Neoplasia maligna de testículo,15,1.04
C62,Neoplasia maligna de testículo,16,1.08
C65,Neoplasia maligna de pelvis renal,1,1.07
C65,Neoplasia maligna de pelvis renal,2,0.85
C65,Neoplasia maligna de pelvis renal,3,0.95
C65,Neoplasia maligna de pelvis renal,4,0.95
C65,Neoplasia maligna de pelvis renal,5,1.11
C65,Neoplasia maligna de pelvis renal,6,1.14
C65,Neoplasia maligna de pelvis renal,7,1.09
C65,Neoplasia maligna de pelvis renal,8,1.11
C65,Neoplasia maligna de pelvis renal,9,1.2
C65,Neoplasia maligna de pelvis renal,10,0.97
C65,Neoplasia maligna de pelvis renal,11,1.18
C65,Neoplasia maligna de pelvis renal,12,1.07
C65,Neoplasia maligna de pelvis renal,13,1.08
C65,Neoplasia maligna de pelvis renal,14,1.06
C65,Neoplasia maligna de pelvis renal,15,1.05
C65,Neoplasia maligna de pelvis renal,16,1.09
C66,Neoplasia maligna de uréter,1,1.07
C66,Neoplasia maligna de uréter,2,0.85
C66,Neoplasia maligna de uréter,3,0.95
C66,Neoplasia maligna de uréter,4,0.95
C66,Neoplasia maligna de uréter,5,1.11
C66,Neoplasia maligna de uréter,6,1.14
C66,Neoplasia maligna de uréter,7,1.09
C66,Neoplasia maligna de uréter,8,1.11
C66,Neoplasia maligna de uréter,9,1.2
C66,Neoplasia maligna de uréter,10,0.97
C66,Neoplasia maligna de uréter,11,1.18
C66,Neoplasia maligna de uréter,12,1.07
C66,Neoplasia maligna de uréter,13,1.08
C66,Neoplasia maligna de uréter,14,1.06
C66,Neoplasia maligna de uréter,15,1.05
C66,Neoplasia maligna de uréter,16,1.09
C67,Neoplasia maligna de vejiga,1,1.13
C67,Neoplasia maligna de vejiga,2,0.94
C67,Neoplasia maligna de vejiga,3,1.05
C67,Neoplasia maligna de vejiga,4,1.08
C67,Neoplasia maligna de vejiga,5,1.07
C67,Neoplasia maligna de vejiga,6,1.12
C67,Neoplasia maligna de vejiga,7,1.05
C67,Neoplasia maligna de vejiga,8,0.95
C67,Neoplasia maligna de vejiga,9,1.01
C67,Neoplasia maligna de vejiga,10,1.02
C67,Neoplasia maligna de vejiga,11,1.06
C67,Neoplasia maligna de vejiga,12,1.09
C67,Neoplasia maligna de vejiga,13,1.16
C67,Neoplasia maligna de vejiga,14,1.16
C67,Neoplasia maligna de vejiga,15,1.05
C67,Neoplasia maligna de vejiga,16,1.09
C68,Neoplasia maligna de otros órganos urinarios y los no especificados,1,1.07
C68,Neoplasia maligna de otros órganos urinarios y los no especificados,2,0.85
C68,Neoplasia maligna de otros órganos urinarios y los no especificados,3,0.95
C68,Neoplasia maligna de otros órganos urinarios y los no especificados,4,0.95
