numero,capitulo,CODIGO,DESCRIPCION,TIEMPO ESTANDAR
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A52.7,Otras sífilis tardías sintomáticas,60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A54,Infección gonocócica,14
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A54.23,Infección gonocócica de otros órganos genitales masculinos,14
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A56,Otras enfermedades de transmisión sexual debidas a clamidias,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A56.01,Cistitis y uretritis por clamidias,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A60,Infección anogenital debida a virus del herpes [herpes simple],4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A60.9,"Infección anogenital por virus del herpes simple, no especificada",4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A63,"Otras enfermedades de transmisión predominantemente sexual, no clasificadas bajo otro concepto",7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A63.0,Verrugas (venéreas) anogenitales,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A66.0,Lesiones iniciales por pian,14
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A66.1,Papilomas múltiples y  pian de ladilla,14
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A66.2,Otras lesiones tempranas de piel por pian,14
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A68,Fiebre recidivante,20
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A68.9,"Fiebre recurrente, no especificada",20
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A69.0,Estomatitis ulcerativa necrotizante,21
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A69.1,Otras infecciones de Vincent,21
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A69.20,"Enfermedad de Lyme, no especificada",45
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A70,Clamidia psittaci infecciones,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A74,Otras enfermedades causadas por clamidias,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A74.0,Conjuntivitis por clamidias,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A77,Fiebre maculosa [rickettsiosis transmitida por garrapatas],28
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A77.1,Fiebre maculosa por Rickettsia conorii,28
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A78,Fiebre Q,28
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A79,Otras rickettsiosis,28
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A80,Poliomielitis aguda,180
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A81,Infecciones por virus atípico del sistema nervioso central,180
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A82.9,"Rabia, no especificada",60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A83,Encefalitis viral transmitida por mosquitos,30
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A87.0,Meningitis por enterovirus,30
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A87.9,"Meningitis viral, no especificada",30
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A88.0,Fiebre exantemática enteroviral [exantema de Boston],30
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A88.1,Vértigo epidémico,14
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A90,Fiebre del dengue [dengue clásico],7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A91,Fiebre del dengue hemorrágico,90
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A92.0,Enfermedad por virus Chikungunya,90
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A92.8  ,Otras fiebres virales especificadas transmitidas por mosquitos,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A93,"Otras fiebres virales transmitidas por artrópodos, no clasificadas bajo otro concepto",14
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A95,Fiebre amarilla,90
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A98.3,Enfermedad por el virus de Marburg,90
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A98.4,Enfermedad por el virus de Ebola,90
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B00,Infecciones por herpesvirus [herpes simple],4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B00.0,Eczema herpético,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B00.2,Gingivoestomatitis y faringoamigdalitis herpética,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B00.4,Encefalitis herpética,60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B00.5,Afectación ocular por herpesvirus,14
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B00.50,"Afectación ocular por herpesvirus, no especificada",14
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B00.52,Queratitis por herpesvirus,20
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B00.8,Otras formas de infecciones herpéticas,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B00.89,Otras infecciones por herpesvirus,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B00.9,"Infección debida a herpesvirus, no especificada",7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B01,Varicela,10
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B01.89,Otras complicaciones de varicela,14
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B01.9,Varicela sin complicaciones,10
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B02,Herpes zóster,20
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B02.22,Neuralgia del trigémino posherpética,30
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B02.29,Otro tipo de afectación posherpética del sistema nervioso,60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B02.3,Herpes zóster ocular,20
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B02.33,Queratitis por herpes zóster,30
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B02.39,Otras enfermedades oculares por herpes zóster,20
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B02.8,Herpes zóster con otras complicaciones,30
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B02.9,Herpes zóster sin complicaciones,20
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B05,Sarampión,14
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B05.0,Sarampión complicado por encefalitis,60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B05.2,Sarampión complicado por una neumonía,30
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B05.9,Sarampión sin complicaciones,14
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B06,Rubeola (sarampión alemán),10
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B06.0,Rubeola con complicaciones neurológicas,30
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B06.01,Encefalitis por rubeola,60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B06.9,Rubeola sin complicaciones,10
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B07,Verrugas víricas,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B07.0,Verruga plantar,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B07.8,Otras verrugas virales,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B07.9,"Verruga viral, no especificada",4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B08,"Otras infecciones víricas caracterizadas por lesiones de la piel y de las mucosas, no clasificadas bajo otro concepto",30
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B08.02,Enfermedad por virus Orf,30
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B08.1,Molusco contagioso,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B08.4,Estomatitis vesicular por enterovirus con exantema,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B08.5,Faringitis vesicular por enterovirus,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B08.8,"Otras infecciones virales especificadas, caracterizadas por lesiones de la piel y de las membranas mucosas",4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B09,"Infección viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas",7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B15.0,"Hepatitis aguda tipo A, con coma hepático",60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B15.9,"Hepatitis aguda tipo A, sin coma hepático",30
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B16.2,"Hepatitis aguda tipo B, sin agente delta, con coma hepático",60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B17.10,"Hepatitis aguda tipo C, sin coma hepático",45
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B18.2,Hepatitis viral tipo C crónica,45
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B18.8,Otras hepatitis virales crónicas,45
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B19.9,"Hepatitis viral, no especificada, sin coma hepático",45
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],45
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B25.9,"Enfermedad por citomegalovirus, no especificada",10
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B26,Parotiditis infecciosa,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B26.0,Orquitis por paperas,10
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B26.2,Encefalitis por paperas,60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B26.9,"Parotiditis, sin complicaciones",7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B27.90,"Mononucleosis infecciosa, no especificada sin complicaciones",20
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B30,Conjuntivitis viral,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B30.0,Queratoconjuntivitis por adenovirus,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B30.1,Conjuntivitis por adenovirus,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B30.2,Faringoconjuntivitis viral,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B30.8,Otras conjuntivitis virales,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B30.9,"Conjuntivitis viral, no especificada",7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B33,"Otras enfermedades virales, no clasificadas bajo otro concepto",21
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B33.8,Otras enfermedades virales especificadas,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B34.1,"Infección debida a enterovirus, no especificada",7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B34.2,"Infección debida a Coronavirus, no especificada",4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B34.4,"Infección debida a Papovavirus, no especificada",4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B34.8,"Otras infecciones virales, de localización no especificada",4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B35,Dermatofitosis,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B35.0,Tiña de la barba y del cuero cabelludo,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B35.1,Tiña de las uñas,10
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B35.2,Tiña de la mano,10
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B35.3,Tiña del pie [Tinea pedis],4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B35.5,Tiña imbricada [Tinea imbricata],4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B35.6,Tiña inguinal [Tinea cruris],4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B35.9,"Dermatofitosis, no especificada",4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B36.9,"Micosis superficial, no especificada",4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B37,Candidiasis,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B37.0,Estomatitis candidiásica,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B37.2,Candidiasis de la piel y las uñas,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B37.3,Candidiasis de vulva y vagina,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B37.42,Balanitis por cándidas,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B37.49,Otra candidiasis urogenital,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B37.83,Queilitis por cándidas,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B37.9,"Candidiasis, no especificada",4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B48,"Otras micosis, no clasificadas bajo otro concepto",4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B48.8,Otras micosis especificadas,14
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B49,"Micosis, no especificadas",4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B54,Paludismo [malaria] no especificado,45
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B55,Leishmaniasis ,45
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B56,Tripanosomiasis africana,60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B57,Enfermedad de Chagas ,60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B64,"Enfermedad debida a protozoos, no especificada",45
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B65.0,Esquistosomiasis debida a Schistosoma haematobium [esquistosomiasis urinaria],20
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B67.8,"Equinococosis del hígado, no especificada",60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B67.90,"Equinococosis, no especificada",60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B68,Teniasis,20
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B74,Filariasis,20
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B75,Triquinosis,20
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B81,"Otras helmintiasis intestinales, no clasificadas bajo otro concepto",7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B85.4,Pediculosis y ftiriasis mixtas,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B86,Escabiosis,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B89,"Enfermedad parasitaria, no especificada",4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B90.8,Secuelas de tuberculosis de otros órganos,60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B91,Secuelas de poliomielitis,120
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B96.89,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B97.0,Adenovirus como causa de enfermedades clasificadas bajo otro concepto,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B97.11,Coxsackievirus como causa de enfermedades clasificadas bajo otro concepto,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B97.12,Virus Echo como causa de enfermedades clasificadas bajo otro concepto,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B97.19,Otros enterovirus como causa de enfermedades clasificadas bajo otro concepto,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B97.29,Otros coronavirus como causa de enfermedades clasificadas bajo otro concepto,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B97.4,Virus sincitial respiratorio como causa de enfermedades clasificadas bajo otro concepto,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B97.7,Papilomavirus como causa de enfermedades clasificadas bajo otro concepto,21
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B97.89,Otros agentes virales como causa de enfermedades clasificadas bajo otro concepto,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B99.8,Otras enfermedades infecciosas,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,B99.9,Enfermedad infecciosa no especificada,4
2,NEOPLASIAS,C00,Neoplasia maligna de labio,40
2,NEOPLASIAS,C00.8,Neoplasia maligna de localizaciones contiguas de labio,60
2,NEOPLASIAS,C01,Neoplasia maligna de base de la lengua,120
2,NEOPLASIAS,C02.0,Neoplasia maligna de superficie dorsal de la lengua,120
2,NEOPLASIAS,C02.1,Neoplasia maligna de borde de la lengua,90
2,NEOPLASIAS,C02.2,Neoplasia maligna de superficie ventral de la lengua,90
2,NEOPLASIAS,C02.4,Neoplasia maligna de amígdala lingual,120
2,NEOPLASIAS,C02.9,"Neoplasia maligna de la lengua, no especificada",90
2,NEOPLASIAS,C03,Neoplasia maligna de encía,120
2,NEOPLASIAS,C04,Neoplasia maligna de suelo de la boca,120
2,NEOPLASIAS,C06,Neoplasia maligna de otras partes de la boca y las no especificadas,90
2,NEOPLASIAS,C07,Neoplasia maligna de glándula parótida,120
2,NEOPLASIAS,C08,Neoplasia maligna de otras glándulas salivales mayores y las no especificadas,90
2,NEOPLASIAS,C09,Neoplasia maligna de amígdala,90
2,NEOPLASIAS,C10,Neoplasia maligna de orofaringe,120
2,NEOPLASIAS,C11,Neoplasia maligna de nasofaringe,180
2,NEOPLASIAS,C12,Neoplasia maligna de seno piriforme,180
2,NEOPLASIAS,C13,Neoplasia maligna de hipofaringe,180
2,NEOPLASIAS,C14.0,"Neoplasia maligna de faringe, no especificada",180
2,NEOPLASIAS,C14.2,Neoplasia maligna de anillo de Waldeyer,180
2,NEOPLASIAS,C14.8,"Neoplasia maligna de localizaciones contiguas de labio, cavidad oral y faringe",180
2,NEOPLASIAS,C15,Neoplasia maligna de esófago,210
2,NEOPLASIAS,C16,Neoplasia maligna de estómago,210
2,NEOPLASIAS,C16.0,Neoplasia maligna de cardias,210
2,NEOPLASIAS,C17,Neoplasia maligna de intestino delgado,210
2,NEOPLASIAS,C18,Neoplasia maligna de colon,210
2,NEOPLASIAS,C18.7,Neoplasia maligna de colon sigmoide,210
2,NEOPLASIAS,C18.8,Neoplasia maligna de localizaciones contiguas de colon,210
2,NEOPLASIAS,C19,Neoplasia maligna de unión rectosigmoidea,210
2,NEOPLASIAS,C20,Neoplasia maligna de recto,210
2,NEOPLASIAS,C21.0,"Neoplasia maligna de ano, no especificada",210
2,NEOPLASIAS,C21.1,Neoplasia maligna de canal anal,210
2,NEOPLASIAS,C21.8,"Neoplasia maligna de localizaciones contiguas de recto, ano y canal anal",210
2,NEOPLASIAS,C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,210
2,NEOPLASIAS,C22.0,Carcinoma de células hepáticas,210
2,NEOPLASIAS,C22.2,Hepatoblastoma,210
2,NEOPLASIAS,C22.3,Angiosarcoma de hígado,210
2,NEOPLASIAS,C23,Neoplasia maligna de vesícula biliar,210
2,NEOPLASIAS,C24.0,Neoplasia maligna de vía biliar extrahepática,210
2,NEOPLASIAS,C24.1,Neoplasia maligna de ampolla de Vater,210
2,NEOPLASIAS,C25,Neoplasia maligna de páncreas,210
2,NEOPLASIAS,C26,Neoplasia maligna de otros órganos digestivos y de los mal definidos,210
2,NEOPLASIAS,C30,Neoplasia maligna de cavidad nasal y de oído medio,120
2,NEOPLASIAS,C31.8,Neoplasia maligna de localizaciones contiguas de senos accesorios,120
2,NEOPLASIAS,C32,Neoplasia maligna de laringe,120
2,NEOPLASIAS,C33,Neoplasia maligna de tráquea,180
2,NEOPLASIAS,C34.0,Neoplasia maligna de bronquio principal,180
2,NEOPLASIAS,C34.1,"Neoplasia maligna de lóbulo superior, bronquio o pulmón",180
2,NEOPLASIAS,C34.2,"Neoplasia maligna de lóbulo medio, bronquio o pulmón ",180
2,NEOPLASIAS,C34.3,"Neoplasia maligna de lóbulo inferior, bronquio o pulmón",180
2,NEOPLASIAS,C34.8,Neoplasia maligna de localizaciones contiguas de bronquio y pulmón,180
2,NEOPLASIAS,C34.9,Neoplasia maligna de parte no especificada de bronquio o pulmón,180
2,NEOPLASIAS,C37,Neoplasia maligna de timo,120
2,NEOPLASIAS,C38.0,Neoplasia maligna de corazón,180
2,NEOPLASIAS,C38.1,Neoplasia maligna de mediastino anterior,180
2,NEOPLASIAS,C38.2,Neoplasia maligna de mediastino posterior,180
2,NEOPLASIAS,C38.4,Neoplasia maligna de pleura,180
2,NEOPLASIAS,C40,Neoplasia maligna de hueso y de cartílago articular de extremidades,120
2,NEOPLASIAS,C41.0,Neoplasia maligna de huesos de cráneo y cara,120
2,NEOPLASIAS,C41.1,Neoplasia maligna de mandíbula,120
2,NEOPLASIAS,C41.2,Neoplasia maligna de columna vertebral,120
2,NEOPLASIAS,C41.3,"Neoplasia maligna de costillas, esternón y clavícula",120
