codigo,descripcion,sexo,ratio
B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],hombre,0.98
B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],mujer,1.08
B25,Enfermedad por citomegalovirus,hombre,1
B25,Enfermedad por citomegalovirus,mujer,1
B26,Parotiditis infecciosa,hombre,1.03
B26,Parotiditis infecciosa,mujer,0.96
B27,Mononucleosis infecciosa,hombre,0.98
B27,Mononucleosis infecciosa,mujer,1.02
B30,Conjuntivitis viral,hombre,0.9
B30,Conjuntivitis viral,mujer,1.08
B33,"Otras enfermedades virales, no clasificadas bajo otro concepto",hombre,0.86
B33,"Otras enfermedades virales, no clasificadas bajo otro concepto",mujer,1.12
B34,Infección viral de localización no especificada,hombre,0.93
B34,Infección viral de localización no especificada,mujer,1.06
B35,Dermatofitosis,hombre,0.91
B35,Dermatofitosis,mujer,1.14
B36,Otras micosis superficiales,hombre,0.87
B36,Otras micosis superficiales,mujer,1.14
B37,Candidiasis,hombre,1.28
B37,Candidiasis,mujer,0.87
B49,"Micosis, no especificadas",hombre,1.24
B49,"Micosis, no especificadas",mujer,0.67
B54,Paludismo [malaria] no especificado,hombre,0.85
B54,Paludismo [malaria] no especificado,mujer,1.5
B55,Leishmaniasis,hombre,0.88
B55,Leishmaniasis,mujer,1.07
B56,Tripanosomiasis africana,mujer,0.6
B57,Enfermedad de Chagas,mujer,0.6
B64,"Enfermedad debida a protozoos, no especificada",mujer,0.85
B67,Equinococosis,hombre,1.28
B67,Equinococosis,mujer,0.76
B81,"Otras helmintiasis intestinales, no clasificadas bajo otro concepto",mujer,0.89
B85,Pediculosis e infestación por piojos,mujer,0.66
B86,Escabiosis,hombre,0.99
B86,Escabiosis,mujer,1.01
B89,"Enfermedad parasitaria, no especificada",hombre,0.99
B89,"Enfermedad parasitaria, no especificada",mujer,1.01
B90,Secuelas de tuberculosis,hombre,1.09
B90,Secuelas de tuberculosis,mujer,0.9
B91,Secuelas de poliomielitis,hombre,0.98
B91,Secuelas de poliomielitis,mujer,1.02
B96,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,hombre,1.27
B96,Otros agentes bacterianos como causa de enfermedades clasificadas bajo otro concepto,mujer,0.78
B97,Agentes virales como causa de enfermedades clasificadas bajo otro concepto,hombre,0.93
B97,Agentes virales como causa de enfermedades clasificadas bajo otro concepto,mujer,1.06
B99,Otras enfermedades infecciosas y las no especificadas,hombre,0.99
B99,Otras enfermedades infecciosas y las no especificadas,mujer,1.01
C00,Neoplasia maligna de labio,hombre,1.17
C01,Neoplasia maligna de base de la lengua,hombre,1.01
C01,Neoplasia maligna de base de la lengua,mujer,0.95
C02,Neoplasia maligna de otras partes de la lengua y de las no especificadas,hombre,1.01
C02,Neoplasia maligna de otras partes de la lengua y de las no especificadas,mujer,0.95
C03,Neoplasia maligna de encía,hombre,1.19
C03,Neoplasia maligna de encía,mujer,0.73
C04,Neoplasia maligna de suelo de la boca,hombre,1.1
C06,Neoplasia maligna de otras partes de la boca y las no especificadas,hombre,0.98
C06,Neoplasia maligna de otras partes de la boca y las no especificadas,mujer,1.04
C07,Neoplasia maligna de glándula parótida,hombre,0.93
C07,Neoplasia maligna de glándula parótida,mujer,1.08
C08,Neoplasia maligna de otras glándulas salivales mayores y las no especificadas,hombre,0.93
C08,Neoplasia maligna de otras glándulas salivales mayores y las no especificadas,mujer,1.08
C09,Neoplasia maligna de amígdala,hombre,0.98
C10,Neoplasia maligna de orofaringe,hombre,0.98
C11,Neoplasia maligna de nasofaringe,hombre,1.03
C12,Neoplasia maligna de seno piriforme,hombre,0.96
C13,Neoplasia maligna de hipofaringe,hombre,0.96
C14,"Neoplasia maligna de otras localizaciones y las mal definidas en labio, cavidad oral y faringe",hombre,0.95
C15,Neoplasia maligna de esófago,hombre,1
C15,Neoplasia maligna de esófago,mujer,0.98
C16,Neoplasia maligna de estómago,hombre,0.99
C16,Neoplasia maligna de estómago,mujer,1.02
C17,Neoplasia maligna de intestino delgado,hombre,0.88
C17,Neoplasia maligna de intestino delgado,mujer,1.29
C18,Neoplasia maligna de colon,hombre,0.97
C18,Neoplasia maligna de colon,mujer,1.05
C19,Neoplasia maligna de unión rectosigmoidea,hombre,0.97
C19,Neoplasia maligna de unión rectosigmoidea,mujer,1.05
C20,Neoplasia maligna de recto,hombre,0.97
C20,Neoplasia maligna de recto,mujer,1.05
C21,Neoplasia maligna de ano y canal anal,hombre,0.97
C21,Neoplasia maligna de ano y canal anal,mujer,1.05
C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,hombre,0.96
C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,mujer,1.2
C23,Neoplasia maligna de vesícula biliar,hombre,0.79
C23,Neoplasia maligna de vesícula biliar,mujer,1.43
C24,Neoplasia maligna de otras partes de tracto biliar y las no especificadas ,hombre,0.79
C24,Neoplasia maligna de otras partes de tracto biliar y las no especificadas ,mujer,1.43
C25,Neoplasia maligna de páncreas,hombre,0.97
C25,Neoplasia maligna de páncreas,mujer,1.06
C26,Neoplasia maligna de otros órganos digestivos y de los mal definidos,hombre,0.97
C26,Neoplasia maligna de otros órganos digestivos y de los mal definidos,mujer,1.06
C30,Neoplasia maligna de cavidad nasal y de oído medio,hombre,1.03
C30,Neoplasia maligna de cavidad nasal y de oído medio,mujer,0.93
C31,Neoplasia maligna de senos accesorios,hombre,1.03
C31,Neoplasia maligna de senos accesorios,mujer,0.93
C32,Neoplasia maligna de laringe,hombre,1
C32,Neoplasia maligna de laringe,mujer,1.01
C33,Neoplasia maligna de tráquea,hombre,0.96
C33,Neoplasia maligna de tráquea,mujer,1.1
C34,Neoplasia maligna de bronquio y pulmón,hombre,0.96
C34,Neoplasia maligna de bronquio y pulmón,mujer,1.1
C37,Neoplasia maligna de timo,hombre,1.05
C38,"Neoplasia maligna de corazón, mediastino y pleura",hombre,1.05
C40,Neoplasia maligna de hueso y de cartílago articular de extremidades,hombre,1.12
C40,Neoplasia maligna de hueso y de cartílago articular de extremidades,mujer,0.85
C41,Neoplasia maligna de hueso y de cartílago articular de otras localizaciones y las no especificadas,hombre,1.12
C41,Neoplasia maligna de hueso y de cartílago articular de otras localizaciones y las no especificadas,mujer,0.85
C43,Melanoma maligno de piel,hombre,1
C43,Melanoma maligno de piel,mujer,1
C44,Otras neoplasias malignas y las no especificadas de piel,hombre,1.08
C44,Otras neoplasias malignas y las no especificadas de piel,mujer,0.92
C46,Sarcoma de Kaposi,hombre,1.03
C49,Neoplasia maligna de tejido conjuntivo y otros tejidos blandos,hombre,0.99
C49,Neoplasia maligna de tejido conjuntivo y otros tejidos blandos,mujer,1.01
C50,Neoplasia maligna de mama,mujer,1
C51,Neoplasia maligna de vulva,mujer,1
C52,Neoplasia maligna de vagina,mujer,1
C53,Neoplasia maligna de cuello de útero,mujer,1
C54,Neoplasia maligna de cuerpo de útero,mujer,1
C56,Neoplasia maligna de ovario,mujer,1
C57,Neoplasia maligna de otros órganos genitales femeninos y los no especificadas,mujer,1
C60,Neoplasia maligna de pene,hombre,1
C61,Neoplasia maligna de próstata,hombre,1
C62,Neoplasia maligna de testículo,hombre,0.99
C63,Neoplasia maligna de otros órganos genitales masculinos y los no especificados,hombre,1
C65,Neoplasia maligna de pelvis renal,hombre,0.96
C65,Neoplasia maligna de pelvis renal,mujer,1.13
C66,Neoplasia maligna de uréter,hombre,0.96
C66,Neoplasia maligna de uréter,mujer,1.13
C67,Neoplasia maligna de vejiga,hombre,0.99
C67,Neoplasia maligna de vejiga,mujer,1.03
C68,Neoplasia maligna de otros órganos urinarios y los no especificados,hombre,0.96
C68,Neoplasia maligna de otros órganos urinarios y los no especificados,mujer,1.13
C69,Neoplasia maligna de ojo y sus anexos,hombre,1.03
C69,Neoplasia maligna de ojo y sus anexos,mujer,0.97
C70,Neoplasia maligna de meninges,hombre,1.06
C70,Neoplasia maligna de meninges,mujer,0.96
C71,Neoplasia maligna de cerebro,hombre,0.96
C71,Neoplasia maligna de cerebro,mujer,1.08
C72,"Neoplasia maligna de médula espinal, nervios craneales y otras partes de sistema nervioso central",hombre,1.06
C72,"Neoplasia maligna de médula espinal, nervios craneales y otras partes de sistema nervioso central",mujer,0.96
C73,Neoplasia maligna de glándula tiroides,hombre,0.96
C73,Neoplasia maligna de glándula tiroides,mujer,1.01
C74,Neoplasia maligna de glándula suprarrenal,hombre,0.98
C74,Neoplasia maligna de glándula suprarrenal,mujer,1.03
C75,Neoplasia maligna de otras glándulas endocrinas y estructuras relacionadas,hombre,0.98
C75,Neoplasia maligna de otras glándulas endocrinas y estructuras relacionadas,mujer,1.03
C76,Neoplasia maligna de otras localizaciones y las mal definidas,hombre,0.88
C76,Neoplasia maligna de otras localizaciones y las mal definidas,mujer,1.1
C78,Neoplasia maligna secundaria de órganos respiratorios y digestivos,hombre,0.88
C78,Neoplasia maligna secundaria de órganos respiratorios y digestivos,mujer,1.15
C81,Linfoma de Hodgkin,hombre,0.91
C81,Linfoma de Hodgkin,mujer,1.13
C82,Linfoma folicular,hombre,0.98
C82,Linfoma folicular,mujer,1.03
C83,Linfoma no folicular,hombre,1
C83,Linfoma no folicular,mujer,1.01
C84,Linfomas de células T/NK maduras,hombre,0.98
C84,Linfomas de células T/NK maduras,mujer,1.03
C85,Otros tipos de linfoma no Hodgkin y los no especificados,hombre,0.98
C85,Otros tipos de linfoma no Hodgkin y los no especificados,mujer,1.03
C90,Mieloma múltiple y tumores malignos de células plasmáticas,hombre,0.95
C90,Mieloma múltiple y tumores malignos de células plasmáticas,mujer,1.09
C91,Leucemia linfoide,hombre,0.94
C91,Leucemia linfoide,mujer,1.13
C92,Leucemia mieloide,hombre,1.04
C92,Leucemia mieloide,mujer,0.95
C94,Otras leucemias de tipo celular especificado,hombre,0.95
C94,Otras leucemias de tipo celular especificado,mujer,1.14
C95,Leucemia de células de tipo no especificado,hombre,0.95
C95,Leucemia de células de tipo no especificado,mujer,1.09
D00,"Carcinoma in situ de cavidad oral, esófago y estómago",hombre,0.95
D00,"Carcinoma in situ de cavidad oral, esófago y estómago",mujer,1.12
D01,Carcinoma in situ de otros órganos digestivos y de no especificados,hombre,0.95
D01,Carcinoma in situ de otros órganos digestivos y de no especificados,mujer,1.12
D02,Carcinoma in situ de oído medio y aparato respiratorio,hombre,0.98
D02,Carcinoma in situ de oído medio y aparato respiratorio,mujer,1.05
D03,Melanoma in situ,hombre,1
D03,Melanoma in situ,mujer,1
D04,Carcinoma in situ de piel,hombre,1.1
D04,Carcinoma in situ de piel,mujer,0.91
D05,Carcinoma in situ de mama,hombre,0.82
D05,Carcinoma in situ de mama,mujer,1.05
D06,Carcinoma in situ de cuello de útero,hombre,0.82
D06,Carcinoma in situ de cuello de útero,mujer,1.05
D07,Carcinoma in situ de otros órganos genitales y los no especificados,hombre,0.82
D07,Carcinoma in situ de otros órganos genitales y los no especificados,mujer,1.05
D09,Carcinoma in situ de otras localizaciones y las no especificadas,hombre,0.89
D09,Carcinoma in situ de otras localizaciones y las no especificadas,mujer,1.07
D10,Neoplasia benigna de boca y faringe,hombre,1.09
D10,Neoplasia benigna de boca y faringe,mujer,0.91
D11,Neoplasia benigna de glándulas salivales mayores,hombre,1.09
D11,Neoplasia benigna de glándulas salivales mayores,mujer,0.91
D12,"Neoplasia benigna de colon, recto, ano y canal anal",hombre,1.04
D12,"Neoplasia benigna de colon, recto, ano y canal anal",mujer,0.95
D13,Neoplasia benigna de otras partes de aparato digestivo y las mal definidas,hombre,1.04
D13,Neoplasia benigna de otras partes de aparato digestivo y las mal definidas,mujer,0.95
D14,Neoplasia benigna de oído medio y de aparato respiratorio,hombre,0.99
D14,Neoplasia benigna de oído medio y de aparato respiratorio,mujer,1.01
D15,Neoplasia benigna de otros órganos intratorácicos y los no especificados,hombre,0.99
D15,Neoplasia benigna de otros órganos intratorácicos y los no especificados,mujer,1.01
D16,Neoplasia benigna de hueso y cartílago articular,hombre,0.95
D16,Neoplasia benigna de hueso y cartílago articular,mujer,1.05
D17,Neoplasia lipomatosa benigna,hombre,0.92
D17,Neoplasia lipomatosa benigna,mujer,1.1
D21,Otras neoplasias benignas tejido conectivo y de otros tejidos blandos,hombre,1.14
D21,Otras neoplasias benignas tejido conectivo y de otros tejidos blandos,mujer,0.96
D22,Nevus melanocíticos,hombre,0.98
D22,Nevus melanocíticos,mujer,1.01
D23,Otras neoplasias benignas de piel,hombre,0.98
D23,Otras neoplasias benignas de piel,mujer,1.01
D24,Neoplasia benigna de mama,hombre,1.07
D24,Neoplasia benigna de mama,mujer,1
D25,Leiomioma de útero,mujer,1
D26,Otros tumores benignos de útero,mujer,1
D27,Neoplasia benigna de ovario,mujer,1
D28,Neoplasia benigna de otros órganos genitales femeninos y los no especificados ,mujer,1
D29,Neoplasia benigna de órganos genitales masculinos,hombre,0.99
D30,Neoplasia benigna de órganos urinarios,hombre,1.01
D30,Neoplasia benigna de órganos urinarios,mujer,0.99
D31,Neoplasia benigna de ojo y sus anexos,hombre,1.17
D31,Neoplasia benigna de ojo y sus anexos,mujer,0.82
D33,Neoplasia benigna de cerebro y otras partes de sistema nervioso central,hombre,0.96
D33,Neoplasia benigna de cerebro y otras partes de sistema nervioso central,mujer,1.03
D34,Neoplasia benigna de glándula tiroides,hombre,1.03
D34,Neoplasia benigna de glándula tiroides,mujer,0.99
D35,Neoplasia benigna de otras glándulas endocrinas y las no especificadas,hombre,0.99
D35,Neoplasia benigna de otras glándulas endocrinas y las no especificadas,mujer,1.01
D36,Neoplasia benigna de otras localizaciones y las no especificadas,hombre,1.18
D36,Neoplasia benigna de otras localizaciones y las no especificadas,mujer,0.89
D49,Neoplasias de comportamiento no especificado,hombre,0.95
D49,Neoplasias de comportamiento no especificado,mujer,1.05
D50,Anemia por carencia de hierro,hombre,1.39
D50,Anemia por carencia de hierro,mujer,0.93
D51,Anemia por carencia de vitamina B12 ,hombre,1.19
D51,Anemia por carencia de vitamina B12 ,mujer,0.87
D53,Otras anemias carenciales,hombre,1.19
D53,Otras anemias carenciales,mujer,0.87
D56,Talasemia,hombre,1.1
D56,Talasemia,mujer,0.95
D57,Trastornos drepanocíticos,hombre,1.1
D57,Trastornos drepanocíticos,mujer,0.95
D58,Otras anemias hemolíticas hereditarias,hombre,1.1
D58,Otras anemias hemolíticas hereditarias,mujer,0.95
D61,Otras anemias aplásicas y síndromes de insuficiencia medular,hombre,0.99
D61,Otras anemias aplásicas y síndromes de insuficiencia medular,mujer,1.01
D62,Anemia poshemorrágica aguda,hombre,1.41
D62,Anemia poshemorrágica aguda,mujer,0.87
D64,Otras anemias,hombre,1.41
D64,Otras anemias,mujer,0.87
D66,Déficit hereditario del factor VIII ,hombre,0.98
D66,Déficit hereditario del factor VIII ,mujer,1.01
D67,Déficit hereditario del factor IX ,hombre,0.98
D67,Déficit hereditario del factor IX ,mujer,1.01
D68,Otros defectos de la coagulación,hombre,0.98
D68,Otros defectos de la coagulación,mujer,1.01
D69,Púrpura y otras afecciones hemorrágicas,hombre,0.97
D69,Púrpura y otras afecciones hemorrágicas,mujer,1.02
D70,Neutropenia,hombre,1.22
D70,Neutropenia,mujer,0.82
D75,Otras enfermedades de la sangre y órganos hemopoyéticos y las no especificadas ,hombre,1.04
D75,Otras enfermedades de la sangre y órganos hemopoyéticos y las no especificadas ,mujer,0.96
D86,Sarcoidosis,hombre,0.98
D86,Sarcoidosis,mujer,1.02
E03,Otros tipos de hipotiroidismo,mujer,1.04
E04,Otros tipos de bocio no tóxico,hombre,0.84
E04,Otros tipos de bocio no tóxico,mujer,1.04
E05,Tirotoxicosis [hipertiroidismo],hombre,0.95
E05,Tirotoxicosis [hipertiroidismo],mujer,1.01
E06,Tiroiditis,hombre,0.71
E06,Tiroiditis,mujer,1.07
E07,Otros trastornos tiroideos,hombre,1
E07,Otros trastornos tiroideos,mujer,1
E08,Diabetes mellitus debida a afección subyacente,hombre,1.13
E08,Diabetes mellitus debida a afección subyacente,mujer,0.82
E10,Diabetes mellitus tipo 1,hombre,1.09
E10,Diabetes mellitus tipo 1,mujer,0.88
E11,Diabetes mellitus tipo 2,hombre,1.09
E11,Diabetes mellitus tipo 2,mujer,0.88
E16,Otros trastornos de la secreción interna del páncreas,hombre,0.79
E16,Otros trastornos de la secreción interna del páncreas,mujer,1.16
E20,Hipoparatiroidismo,hombre,1.04
E20,Hipoparatiroidismo,mujer,0.98
E21,Hiperparatiroidismo y otros trastornos de glándula paratiroides,hombre,1.04
E21,Hiperparatiroidismo y otros trastornos de glándula paratiroides,mujer,0.98
E22,Hiperfunción de hipófisis,hombre,1.03
E22,Hiperfunción de hipófisis,mujer,0.98
E23,Hipofunción y otros trastornos de hipófisis,hombre,1.03
E23,Hipofunción y otros trastornos de hipófisis,mujer,0.98
E24,Síndrome de Cushing,hombre,0.92
E24,Síndrome de Cushing,mujer,1.04
E26,Hiperaldosteronismo,hombre,0.92
E26,Hiperaldosteronismo,mujer,1.04
E27,Otros trastornos de glándula suprarrenal,hombre,0.92
E27,Otros trastornos de glándula suprarrenal,mujer,1.04
E28,Disfunción ovárica,mujer,1
E32,Enfermedades del timo,hombre,1.03
E32,Enfermedades del timo,mujer,0.98
E34,Otros trastornos endocrinos,hombre,1.05
E34,Otros trastornos endocrinos,mujer,0.97
E46,Malnutrición calórico-proteica no especificada,mujer,1.13
E66,Sobrepeso y obesidad,hombre,1.06
E66,Sobrepeso y obesidad,mujer,0.97
E78,Trastornos del metabolismo de las lipoproteínas y otras lipidemias,hombre,1.01
E78,Trastornos del metabolismo de las lipoproteínas y otras lipidemias,mujer,0.99
E83,Trastornos del metabolismo de los minerales,hombre,0.9
E83,Trastornos del metabolismo de los minerales,mujer,1.1
E84,Fibrosis quística,hombre,0.98
E84,Fibrosis quística,mujer,1.02
E87,"Otros trastornos de líquidos, electrolitos y equilibrio ácido-base",hombre,0.94
E87,"Otros trastornos de líquidos, electrolitos y equilibrio ácido-base",mujer,1.05
E88,Otros trastornos metabólicos y los no especificados,hombre,1.01
E88,Otros trastornos metabólicos y los no especificados,mujer,0.99
E89,"Complicaciones y trastornos endocrinos y metabólicos posprocedimiento, no clasificados bajo otro concepto",hombre,0.91
E89,"Complicaciones y trastornos endocrinos y metabólicos posprocedimiento, no clasificados bajo otro concepto",mujer,1.01
F01,Demencia vascular,hombre,0.9
F01,Demencia vascular,mujer,1.13
F02,Demencia en otras enfermedades clasificadas bajo otro concepto,hombre,1.03
F02,Demencia en otras enfermedades clasificadas bajo otro concepto,mujer,0.98
F03,Demencia no especificada,hombre,0.9
F03,Demencia no especificada,mujer,1.13
F05,Delirio debido a afección fisiológica conocida,hombre,1.05
F05,Delirio debido a afección fisiológica conocida,mujer,0.97
F06,Otros trastornos mentales debidos a afección fisiológica conocida,hombre,1.05
F06,Otros trastornos mentales debidos a afección fisiológica conocida,mujer,0.97
F07,Trastornos de personalidad y del comportamiento debidos a afección fisiológica conocida,hombre,1.04
F07,Trastornos de personalidad y del comportamiento debidos a afección fisiológica conocida,mujer,0.95
F10,Trastornos relacionados con alcohol,hombre,0.97
F10,Trastornos relacionados con alcohol,mujer,1.13
F14,Trastornos relacionados con cocaína,hombre,0.98
F14,Trastornos relacionados con cocaína,mujer,1.14
F15,Otros trastornos relacionados con estimulantes,hombre,1.02
F15,Otros trastornos relacionados con estimulantes,mujer,0.94
F16,Trastornos relacionados con alucinógenos,hombre,1.05
F16,Trastornos relacionados con alucinógenos,mujer,0.8
F17,Dependencia de nicotina,hombre,1.05
F17,Dependencia de nicotina,mujer,0.8
F19,Trastornos relacionados con otras sustancias psicoactivas,hombre,0.98
F19,Trastornos relacionados con otras sustancias psicoactivas,mujer,1.14
F20,Esquizofrenia,hombre,1
F20,Esquizofrenia,mujer,1
F22,Trastornos delirantes,hombre,1.04
F22,Trastornos delirantes,mujer,0.95
F23,Trastorno psicótico breve,hombre,0.99
F23,Trastorno psicótico breve,mujer,1.01
F25,Trastornos esquizoafectivos,hombre,1
F25,Trastornos esquizoafectivos,mujer,1
F28,Otros trastornos psicóticos no debidos a sustancia ni afección fisiológica conocidas,hombre,0.99
F28,Otros trastornos psicóticos no debidos a sustancia ni afección fisiológica conocidas,mujer,1.01
F29,Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,hombre,0.99
F29,Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,mujer,1.01
F30,Episodio maníaco,hombre,1.03
F30,Episodio maníaco,mujer,0.98
F31,Trastorno bipolar,hombre,1.03
F31,Trastorno bipolar,mujer,0.98
F32,"Trastorno depresivo mayor, episodio único",hombre,1.04
F32,"Trastorno depresivo mayor, episodio único",mujer,0.98
F33,"Trastorno depresivo mayor, recurrente",hombre,1.03
F33,"Trastorno depresivo mayor, recurrente",mujer,0.98
F34,Trastornos persistentes del estado de ánimo [afectivos],hombre,1.05
F34,Trastornos persistentes del estado de ánimo [afectivos],mujer,0.96
F40,Trastornos de ansiedad fóbica,hombre,1.02
F40,Trastornos de ansiedad fóbica,mujer,0.99
F41,Otros trastornos de ansiedad,hombre,1.02
F41,Otros trastornos de ansiedad,mujer,0.99
F42,Trastorno obsesivo-compulsivo,hombre,1.02
